tradeDate,nav,change,changePercent
2022-09-04,13.72,-0.09,-0.6517
2022-09-01,13.81,0.12,0.87655
2022-08-31,13.69,-0.36,-2.56228
2022-08-30,14.05,-0.05,-0.35461
2022-08-29,14.1,-0.04,-0.28289
2022-08-28,14.14,-0.49,-3.34928
2022-08-25,14.63,0.12,0.82702
2022-08-24,14.51,0.17,1.1855
2022-08-23,14.34,0.01,0.06978
2022-08-22,14.33,-0.05,-0.34771
2022-08-21,14.38,-0.28,-1.90996
2022-08-18,14.66,-0.18,-1.21294
2022-08-17,14.84,-0.12,-0.80214
2022-08-16,14.96,-0.06,-0.39947
2022-08-15,15.02,0.13,0.87307
2022-08-11,14.89,-0.13,-0.86551
2022-08-10,15.02,0.28,1.89959
2022-08-09,14.74,0.25,1.72533
2022-08-08,14.49,-0.28,-1.89573
2022-08-07,14.77,0.27,1.86207
2022-08-04,14.5,-0.1,-0.68493
2022-08-03,14.6,0.18,1.24827
2022-08-02,14.42,0.17,1.19298
2022-08-01,14.25,-0.04,-0.27992
2022-07-31,14.29,0.08,0.56298
2022-07-28,14.21,0.32,2.30382
2022-07-27,13.89,0.19,1.38686
2022-07-26,13.7,0.07,0.51357
2022-07-25,13.63,-0.16,-1.16026
2022-07-24,13.79,-0.18,-1.28848
2022-07-21,13.97,0.07,0.5036
2022-07-20,13.9,0.28,2.0558
2022-07-19,13.62,0.19,1.41474
2022-07-18,13.43,-0.04,-0.29696
2022-07-17,13.47,0.39,2.98165
2022-07-14,13.08,0.2,1.5528
2022-07-13,12.88,-0.17,-1.30268
2022-07-12,13.05,-0.2,-1.50943
2022-07-11,13.25,-0.08,-0.60015
2022-07-10,13.33,-0.16,-1.18606
2022-07-07,13.49,-0.08,-0.58954
2022-07-06,13.57,0.18,1.34429
2022-07-05,13.39,0.39,3.0
2022-07-04,13.0,-0.2,-1.51515
2022-07-03,13.2,0.0,0.0
2022-06-30,13.2,0.25,1.9305
2022-06-29,12.95,-0.35,-2.63158
2022-06-28,13.3,-0.41,-2.99052
2022-06-27,13.71,0.08,0.58694
2022-06-26,13.63,0.08,0.59041
2022-06-23,13.55,0.51,3.91104
2022-06-21,13.04,-0.1,-0.76104
2022-06-20,13.14,0.25,1.93949
2022-06-19,12.89,0.05,0.38941
2022-06-16,12.84,0.1,0.78493
2022-06-15,12.74,-0.31,-2.37548
2022-06-14,13.05,0.09,0.69444
2022-06-13,12.96,-0.05,-0.38432
2022-06-12,13.01,-0.63,-4.61877
2022-06-09,13.64,-0.63,-4.41486
2022-06-08,14.27,-0.21,-1.45028
2022-06-07,14.48,0.28,1.97183
2022-06-06,14.2,-0.14,-0.97629
2022-06-02,14.34,0.16,1.12835
2022-06-01,14.18,-0.18,-1.25348
2022-05-31,14.36,0.08,0.56022
2022-05-30,14.28,-0.14,-0.97087
2022-05-29,14.42,0.27,1.90813
2022-05-26,14.15,0.73,5.43964
2022-05-24,13.42,0.05,0.37397
2022-05-23,13.37,-0.21,-1.54639
2022-05-22,13.58,-0.14,-1.02041
2022-05-19,13.72,0.3,2.23547
2022-05-18,13.42,-0.22,-1.6129
2022-05-17,13.64,-0.15,-1.08774
2022-05-16,13.79,0.22,1.62122
2022-05-15,13.57,0.0,0.0
2022-05-12,13.57,0.59,4.54545
2022-05-11,12.98,-0.5,-3.7092
2022-05-10,13.48,-0.05,-0.36955
2022-05-09,13.53,-0.29,-2.09841
2022-05-05,13.82,-0.7,-4.82094
2022-05-04,14.52,0.11,0.76336
2022-05-03,14.41,-0.22,-1.50376
2022-05-02,14.63,0.11,0.75758
2022-05-01,14.52,-0.45,-3.00601
2022-04-28,14.97,0.33,2.2541
2022-04-27,14.64,-0.06,-0.40816
2022-04-26,14.7,-0.03,-0.20367
2022-04-25,14.73,-0.02,-0.13559
2022-04-24,14.75,-0.46,-3.02433
2022-04-21,15.21,-0.54,-3.42857
2022-04-20,15.75,0.03,0.19084
2022-04-19,15.72,0.1,0.6402
2022-04-18,15.62,-0.26,-1.63728
2022-04-13,15.88,0.07,0.44276
2022-04-12,15.81,-0.29,-1.80124
2022-04-11,16.1,0.12,0.75094
2022-04-10,15.98,-0.09,-0.56005
2022-04-07,16.07,-0.2,-1.22926
2022-04-06,16.27,0.07,0.4321
2022-04-05,16.2,-0.65,-3.85757
2022-04-04,16.85,0.05,0.29762
2022-04-03,16.8,0.25,1.51057
2022-03-31,16.55,-0.07,-0.42118
2022-03-30,16.62,-0.23,-1.36499
2022-03-29,16.85,0.0,0.0
2022-03-28,16.85,0.43,2.61876
2022-03-27,16.42,0.06,0.36675
2022-03-24,16.36,0.1,0.61501
2022-03-23,16.26,-0.15,-0.91408
2022-03-22,16.41,-0.11,-0.66586
2022-03-21,16.52,0.29,1.78681
2022-03-20,16.23,0.05,0.30902
2022-03-17,16.18,0.44,2.79543
2022-03-16,15.74,0.12,0.76825
2022-03-15,15.62,0.77,5.18519
2022-03-14,14.85,-0.11,-0.73529
2022-03-13,14.96,-0.2,-1.31926
2022-03-10,15.16,-0.1,-0.65531
2022-03-09,15.26,0.01,0.06557
2022-03-08,15.25,0.5,3.38983
2022-03-07,14.75,-0.51,-3.34207
2022-03-06,15.26,-0.36,-2.30474
2022-03-03,15.62,-0.57,-3.52069
2022-03-02,16.19,0.0,0.0
2022-03-01,16.19,-0.22,-1.34065
2022-02-28,16.41,0.0,0.0
2022-02-27,16.41,0.3,1.8622
2022-02-24,16.11,0.57,3.66795
2022-02-23,15.54,-0.66,-4.07407
2022-02-22,16.2,-0.12,-0.73529
2022-02-21,16.32,0.15,0.92764
2022-02-20,16.17,-0.42,-2.53165
2022-02-17,16.59,-0.27,-1.60142
2022-02-16,16.86,-0.05,-0.29568
2022-02-15,16.91,-0.1,-0.58789
2022-02-14,17.01,0.23,1.37068
2022-02-13,16.78,-0.43,-2.49855
2022-02-10,17.21,-0.27,-1.54462
2022-02-09,17.48,0.07,0.40207
2022-02-08,17.41,0.51,3.01775
2022-02-07,16.9,-0.34,-1.97216
2022-02-06,17.24,0.35,2.07223
2022-02-03,16.89,-0.05,-0.29516
2022-02-02,16.94,-0.51,-2.92264
2022-02-01,17.45,0.24,1.39454
2022-01-31,17.21,0.31,1.83432
2022-01-30,16.9,0.76,4.7088
2022-01-27,16.14,-0.48,-2.88809
2022-01-26,16.62,-0.22,-1.30641
2022-01-25,16.84,0.36,2.18447
2022-01-24,16.48,0.08,0.4878
2022-01-23,16.4,-0.77,-4.48457
2022-01-20,17.17,-0.58,-3.26761
2022-01-19,17.75,0.07,0.39593
2022-01-18,17.68,0.12,0.68337
2022-01-17,17.56,-0.31,-1.73475
2022-01-16,17.87,-0.07,-0.39019
2022-01-13,17.94,-0.46,-2.5
2022-01-12,18.4,-0.13,-0.70157
2022-01-11,18.53,0.43,2.37569
2022-01-10,18.1,0.35,1.97183
2022-01-09,17.75,-0.58,-3.16421
2022-01-06,18.33,0.23,1.27072
2022-01-05,18.1,-0.62,-3.31197
2022-01-04,18.72,-0.23,-1.21372
2022-01-03,18.95,-0.05,-0.26316
2022-01-02,19.0,-0.16,-0.83507
2021-12-30,19.16,-0.02,-0.10428
2021-12-29,19.18,0.18,0.94737
2021-12-28,19.0,-0.24,-1.2474
2021-12-27,19.24,0.12,0.62762
2021-12-26,19.12,0.2,1.05708
2021-12-22,18.92,0.12,0.6383
2021-12-21,18.8,0.35,1.89702
2021-12-20,18.45,0.11,0.59978
2021-12-19,18.34,-0.06,-0.32609
2021-12-16,18.4,-0.51,-2.69699
2021-12-15,18.91,0.37,1.99569
2021-12-14,18.54,-0.2,-1.06724
2021-12-13,18.74,-0.33,-1.73047
2021-12-12,19.07,-0.04,-0.20931
2021-12-09,19.11,-0.23,-1.18925
2021-12-08,19.34,0.08,0.41537
2021-12-07,19.26,0.05,0.26028
2021-12-06,19.21,0.65,3.50216
2021-12-05,18.56,-0.11,-0.58918
2021-12-02,18.67,-0.3,-1.58144
2021-12-01,18.97,-0.37,-1.91313
2021-11-30,19.34,-0.24,-1.22574
2021-11-29,19.58,0.04,0.20471
2021-11-28,19.54,-0.01,-0.05115
2021-11-25,19.55,-0.24,-1.21273
2021-11-24,19.79,0.27,1.3832
2021-11-23,19.52,-0.26,-1.31446
2021-11-22,19.78,-0.36,-1.78749
2021-11-21,20.14,-0.17,-0.83703
2021-11-18,20.31,0.13,0.6442
2021-11-17,20.18,-0.06,-0.29644
2021-11-16,20.24,-0.05,-0.24643
2021-11-15,20.29,-0.09,-0.44161
2021-11-14,20.38,0.22,1.09127
2021-11-11,20.16,0.04,0.19881
2021-11-10,20.12,-0.04,-0.19841
2021-11-09,20.16,0.03,0.14903
2021-11-08,20.13,-0.02,-0.09926
2021-11-07,20.15,0.02,0.09935
2021-11-04,20.13,-0.02,-0.09926
2021-11-03,20.15,0.16,0.8004
2021-11-02,19.99,0.0,0.0
2021-11-01,19.99,0.1,0.50277
2021-10-28,19.89,0.03,0.15106
2021-10-27,19.86,-0.14,-0.7
2021-10-26,20.0,-0.09,-0.44798
2021-10-25,20.09,0.11,0.55055
2021-10-24,19.98,-0.12,-0.59701
2021-10-21,20.1,0.05,0.24938
2021-10-20,20.05,0.03,0.14985
2021-10-19,20.02,0.11,0.55249
2021-10-18,19.91,0.17,0.8612
2021-10-17,19.74,0.08,0.40692
2021-10-14,19.66,0.13,0.66564
2021-10-13,19.53,0.31,1.6129
2021-10-12,19.22,0.16,0.83945
2021-10-11,19.06,-0.17,-0.88404
2021-10-10,19.23,-0.09,-0.46584
2021-10-07,19.32,-0.01,-0.05173
2021-10-06,19.33,0.48,2.54642
2021-10-05,18.85,-0.18,-0.94587
2021-10-04,19.03,-0.03,-0.1574
2021-10-03,19.06,-0.01,-0.05244
2021-09-30,19.07,-0.24,-1.24288
2021-09-29,19.31,-0.07,-0.3612
2021-09-28,19.38,-0.05,-0.25733
2021-09-27,19.43,-0.36,-1.8191
2021-09-26,19.79,-0.17,-0.8517
2021-09-23,19.96,-0.17,-0.84451
2021-09-22,20.13,0.23,1.15578
2021-09-21,19.9,0.02,0.1006
2021-09-20,19.88,0.11,0.5564
2021-09-19,19.77,-0.41,-2.03171
2021-09-16,20.18,0.07,0.34809
2021-09-15,20.11,0.02,0.09955
2021-09-14,20.09,-0.14,-0.69204
2021-09-13,20.23,0.05,0.24777
2021-09-12,20.18,-0.28,-1.36852
2021-09-09,20.46,0.02,0.09785
2021-09-08,20.44,-0.01,-0.0489
2021-09-07,20.45,-0.09,-0.43817
2021-09-06,20.54,-0.1,-0.4845
2021-09-05,20.64,0.13,0.63384
2021-09-02,20.51,-0.03,-0.14606
2021-09-01,20.54,0.14,0.68627
2021-08-31,20.4,0.1,0.49261
2021-08-30,20.3,0.03,0.148
2021-08-29,20.27,0.17,0.84577
2021-08-26,20.1,-0.04,-0.19861
2021-08-25,20.14,0.04,0.199
2021-08-24,20.1,0.07,0.34948
2021-08-23,20.03,0.27,1.3664
2021-08-22,19.76,0.13,0.66225
2021-08-19,19.63,0.1,0.51203
2021-08-18,19.53,-0.2,-1.01368
2021-08-17,19.73,0.09,0.45825
2021-08-16,19.64,-0.06,-0.30457
2021-08-15,19.7,-0.17,-0.85556
2021-08-12,19.87,0.08,0.40424
2021-08-11,19.79,-0.1,-0.50277
2021-08-10,19.89,-0.12,-0.5997
2021-08-09,20.01,0.18,0.90772
2021-08-08,19.83,0.02,0.10096
2021-08-05,19.81,-0.04,-0.20151
2021-08-04,19.85,0.1,0.50633
2021-08-03,19.75,0.23,1.17828
2021-08-02,19.52,-0.04,-0.2045
2021-08-01,19.56,-0.04,-0.20408
2021-07-29,19.6,-0.1,-0.50761
2021-07-28,19.7,0.18,0.92213
2021-07-27,19.52,0.04,0.20534
2021-07-26,19.48,-0.18,-0.91556
2021-07-25,19.66,-0.04,-0.20305
2021-07-22,19.7,0.08,0.40775
2021-07-21,19.62,0.22,1.13402
2021-07-20,19.4,0.25,1.30548
2021-07-19,19.15,0.15,0.78947
2021-07-18,19.0,-0.4,-2.06186
2021-07-15,19.4,-0.16,-0.818
2021-07-14,19.56,-0.1,-0.50865
2021-07-13,19.66,0.0,0.0
2021-07-12,19.66,0.01,0.05089
2021-07-11,19.65,0.16,0.82093
2021-07-08,19.49,0.15,0.77559
2021-07-07,19.34,-0.38,-1.92698
2021-07-06,19.72,0.14,0.71502
2021-07-05,19.58,-0.02,-0.10204
2021-07-04,19.6,0.03,0.1533
2021-07-01,19.57,0.02,0.1023
2021-06-30,19.55,-0.02,-0.1022
2021-06-29,19.57,-0.11,-0.55894
2021-06-28,19.68,0.08,0.40816
2021-06-27,19.6,0.07,0.35842
2021-06-24,19.53,0.04,0.20523
2021-06-23,19.49,0.29,1.51042
2021-06-21,19.2,0.11,0.57622
2021-06-20,19.09,-0.02,-0.10466
2021-06-17,19.11,0.02,0.10477
2021-06-16,19.09,-0.07,-0.36534
2021-06-15,19.16,-0.03,-0.15633
2021-06-14,19.19,0.02,0.10433
2021-06-13,19.17,0.1,0.52438
2021-06-10,19.07,0.08,0.42127
2021-06-09,18.99,0.05,0.26399
2021-06-08,18.94,0.01,0.05283
2021-06-07,18.93,0.11,0.58448
2021-06-06,18.82,-0.02,-0.10616
2021-06-03,18.84,0.19,1.01877
2021-06-02,18.65,-0.21,-1.11347
2021-06-01,18.86,-0.09,-0.47493
2021-05-31,18.95,0.12,0.63728
2021-05-30,18.83,-0.09,-0.47569
2021-05-27,18.92,0.2,1.06838
2021-05-26,18.72,-0.02,-0.10672
2021-05-25,18.74,0.03,0.16034
2021-05-24,18.71,0.08,0.42941
2021-05-20,18.63,0.21,1.14007
2021-05-19,18.42,0.38,2.10643
2021-05-18,18.04,-0.32,-1.74292
2021-05-17,18.36,0.12,0.65789
2021-05-16,18.24,0.11,0.60673
2021-05-13,18.13,0.05,0.27655
2021-05-11,18.08,-0.07,-0.38567
2021-05-10,18.15,-0.23,-1.25136
2021-05-09,18.38,-0.18,-0.96983
2021-05-06,18.56,0.3,1.64294
2021-05-05,18.26,-0.23,-1.24392
2021-05-04,18.49,0.13,0.70806
2021-05-03,18.36,-0.42,-2.23642
2021-05-02,18.78,-0.11,-0.58232
2021-04-29,18.89,-0.1,-0.52659
2021-04-28,18.99,-0.05,-0.26261
2021-04-27,19.04,0.1,0.52798
2021-04-26,18.94,0.06,0.3178
2021-04-25,18.88,0.09,0.47898
2021-04-22,18.79,0.07,0.37393
2021-04-21,18.72,0.2,1.07991
2021-04-20,18.52,-0.15,-0.80343
2021-04-19,18.67,-0.19,-1.00742
2021-04-18,18.86,0.06,0.31915
2021-04-15,18.8,-0.03,-0.15932
2021-04-14,18.83,0.0,0.0
2021-04-13,18.83,0.13,0.69519
2021-04-12,18.7,0.24,1.30011
2021-04-11,18.46,-0.04,-0.21622
2021-04-08,18.5,-0.02,-0.10799
2021-04-07,18.52,0.17,0.92643
2021-04-06,18.35,-0.01,-0.05447
2021-04-05,18.36,0.17,0.93458
2021-03-31,18.19,0.3,1.67691
2021-03-30,17.89,0.22,1.24505
2021-03-29,17.67,-0.07,-0.39459
2021-03-28,17.74,0.04,0.22599
2021-03-25,17.7,0.26,1.49083
2021-03-24,17.44,-0.38,-2.13244
2021-03-23,17.82,-0.24,-1.3289
2021-03-22,18.06,0.05,0.27762
2021-03-21,18.01,0.07,0.39019
2021-03-18,17.94,-0.12,-0.66445
2021-03-17,18.06,0.04,0.22198
2021-03-16,18.02,-0.23,-1.26027
2021-03-15,18.25,0.16,0.88447
2021-03-14,18.09,0.02,0.11068
2021-03-11,18.07,-0.08,-0.44077
2021-03-10,18.15,0.13,0.72142
2021-03-09,18.02,0.14,0.783
2021-03-08,17.88,0.19,1.07405
2021-03-07,17.69,0.11,0.62571
2021-03-04,17.58,-0.31,-1.73281
2021-03-03,17.89,-0.38,-2.07991
2021-03-02,18.27,-0.34,-1.82697
2021-03-01,18.61,0.19,1.03149
2021-02-28,18.42,0.29,1.59956
2021-02-25,18.13,-0.53,-2.8403
2021-02-24,18.66,0.22,1.19306
2021-02-23,18.44,0.17,0.93049
2021-02-22,18.27,-0.59,-3.12831
2021-02-21,18.86,-0.28,-1.4629
2021-02-18,19.14,0.1,0.52521
2021-02-17,19.04,-0.13,-0.67814
2021-02-16,19.17,-0.2,-1.03252
2021-02-15,19.37,0.0,0.0
2021-02-14,19.37,0.21,1.09603
2021-02-11,19.16,0.05,0.26164
2021-02-10,19.11,-0.03,-0.15674
2021-02-09,19.14,0.16,0.84299
2021-02-08,18.98,0.08,0.42328
2021-02-07,18.9,0.14,0.74627
2021-02-04,18.76,0.18,0.96878
2021-02-03,18.58,0.02,0.10776
2021-02-02,18.56,0.19,1.0343
2021-02-01,18.37,0.41,2.28285
2021-01-31,17.96,0.11,0.61625
2021-01-28,17.85,-0.14,-0.77821
2021-01-27,17.99,0.06,0.33463
2021-01-26,17.93,-0.56,-3.02866
2021-01-25,18.49,-0.1,-0.53792
2021-01-24,18.59,0.13,0.70423
2021-01-21,18.46,0.0,0.0
2021-01-20,18.46,0.13,0.70922
2021-01-19,18.33,0.26,1.43885
2021-01-18,18.07,0.11,0.61247
2021-01-17,17.96,-0.05,-0.27762
2021-01-14,18.01,-0.22,-1.2068
2021-01-13,18.23,0.15,0.82965
2021-01-12,18.08,0.04,0.22173
2021-01-11,18.04,0.05,0.27793
2021-01-10,17.99,-0.06,-0.33241
2021-01-07,18.05,0.26,1.4615
2021-01-06,17.79,0.17,0.96481
2021-01-05,17.62,-0.02,-0.11338
2021-01-04,17.64,-0.01,-0.05666
2021-01-03,17.65,0.09,0.51253
2020-12-30,17.56,-0.07,-0.39705
2020-12-29,17.63,0.06,0.34149
2020-12-28,17.57,0.03,0.17104
2020-12-27,17.54,-0.04,-0.22753
2020-12-22,17.58,0.06,0.34247
2020-12-21,17.52,0.17,0.97983
2020-12-20,17.35,-0.17,-0.97032
2020-12-17,17.52,0.02,0.11429
2020-12-16,17.5,0.27,1.56703
2020-12-15,17.23,0.16,0.93732
2020-12-14,17.07,-0.05,-0.29206
2020-12-13,17.12,0.17,1.00295
2020-12-10,16.95,-0.02,-0.11786
2020-12-09,16.97,-0.15,-0.87617
2020-12-08,17.12,0.08,0.46948
2020-12-07,17.04,0.06,0.35336
2020-12-06,16.98,0.03,0.17699
2020-12-03,16.95,0.06,0.35524
2020-12-02,16.89,0.17,1.01675
2020-12-01,16.72,-0.11,-0.65359
2020-11-30,16.83,0.09,0.53763
2020-11-29,16.74,0.0,0.0
2020-11-26,16.74,0.08,0.48019
2020-11-25,16.66,0.11,0.66465
2020-11-24,16.55,0.04,0.24228
2020-11-23,16.51,0.04,0.24287
2020-11-22,16.47,0.09,0.54945
2020-11-19,16.38,0.12,0.73801
2020-11-18,16.26,-0.06,-0.36765
2020-11-17,16.32,0.11,0.67859
2020-11-16,16.21,-0.06,-0.36878
2020-11-15,16.27,0.05,0.30826
2020-11-12,16.22,0.02,0.12346
2020-11-11,16.2,0.06,0.37175
2020-11-10,16.14,0.12,0.74906
2020-11-09,16.02,-0.33,-2.01835
2020-11-08,16.35,0.25,1.5528
2020-11-05,16.1,-0.02,-0.12407
2020-11-04,16.12,0.49,3.135
2020-11-03,15.63,0.36,2.35756
2020-11-02,15.27,0.18,1.19284
2020-11-01,15.09,0.31,2.09743
2020-10-29,14.78,-0.3,-1.98939
2020-10-28,15.08,0.0,0.0
2020-10-27,15.08,-0.41,-2.64687
2020-10-26,15.49,0.03,0.19405
2020-10-25,15.46,-0.16,-1.02433
2020-10-22,15.62,0.01,0.06406
2020-10-21,15.61,-0.12,-0.76287
2020-10-20,15.73,0.11,0.70423
2020-10-19,15.62,-0.05,-0.31908
2020-10-18,15.67,0.01,0.06386
2020-10-15,15.66,0.2,1.29366
2020-10-14,15.46,-0.33,-2.08993
2020-10-13,15.79,0.07,0.44529
2020-10-12,15.72,0.05,0.31908
2020-10-11,15.67,0.17,1.09677
2020-10-08,15.5,0.15,0.9772
2020-10-07,15.35,0.14,0.92045
2020-10-06,15.21,0.02,0.13167
2020-10-05,15.19,0.07,0.46296
2020-10-04,15.12,0.15,1.002
2020-10-01,14.97,-0.04,-0.26649
2020-09-30,15.01,0.1,0.67069
2020-09-29,14.91,0.07,0.4717
2020-09-28,14.84,0.05,0.33807
2020-09-27,14.79,0.42,2.92276
2020-09-24,14.37,0.07,0.48951
2020-09-23,14.3,-0.35,-2.38908
2020-09-22,14.65,0.15,1.03448
2020-09-21,14.5,0.07,0.4851
2020-09-20,14.43,-0.33,-2.23577
2020-09-17,14.76,0.08,0.54496
