tradeDate,nav,change,changePercent
2022-02-24,59.28,9.61,19.34769
2022-02-23,49.67,-31.56,-38.85264
2022-02-21,81.23,-0.41,-0.5022
2022-02-20,81.64,-8.65,-9.58024
2022-02-17,90.29,-4.54,-4.78751
2022-02-16,94.83,-4.87,-4.88465
2022-02-15,99.7,1.52,1.54818
2022-02-14,98.18,5.51,5.94583
2022-02-13,92.67,-1.75,-1.85342
2022-02-10,94.42,-5.38,-5.39078
2022-02-09,99.8,0.14,0.14048
2022-02-08,99.66,3.57,3.71527
2022-02-07,96.09,2.88,3.0898
2022-02-06,93.21,0.72,0.77846
2022-02-03,92.49,0.16,0.17329
2022-02-02,92.33,-2.45,-2.58493
2022-02-01,94.78,0.0,0.0
2022-01-31,94.78,1.29,1.37983
2022-01-30,93.49,2.32,2.5447
2022-01-27,91.17,0.56,0.61803
2022-01-26,90.61,3.94,4.54598
2022-01-25,86.67,0.95,1.10826
2022-01-24,85.72,1.11,1.3119
2022-01-23,84.61,-7.32,-7.96258
2022-01-20,91.93,-3.45,-3.61711
2022-01-19,95.38,1.2,1.27416
2022-01-18,94.18,2.57,2.80537
2022-01-17,91.61,-5.83,-5.98317
2022-01-16,97.44,-0.36,-0.3681
2022-01-13,97.8,-2.62,-2.60904
2022-01-12,100.42,-4.88,-4.63438
2022-01-11,105.3,0.49,0.46751
2022-01-10,104.81,1.87,1.81659
2022-01-09,102.94,0.88,0.86224
2022-01-05,102.06,-2.49,-2.38164
2022-01-04,104.55,-3.3,-3.05981
2022-01-03,107.85,1.29,1.21059
2021-12-30,106.56,-0.29,-0.27141
2021-12-29,106.85,0.66,0.62153
2021-12-28,106.19,-0.04,-0.03765
2021-12-23,106.23,0.08,0.07537
2021-12-22,106.15,-0.62,-0.58069
2021-12-21,106.77,1.45,1.37676
2021-12-20,105.32,1.39,1.33744
2021-12-19,103.93,-1.72,-1.62802
2021-12-16,105.65,-0.56,-0.52726
2021-12-15,106.21,3.85,3.76123
2021-12-14,102.36,-0.11,-0.10735
2021-12-13,102.47,-0.68,-0.65923
2021-12-12,103.15,-3.84,-3.58912
2021-12-09,106.99,-1.2,-1.10916
2021-12-08,108.19,-0.22,-0.20293
2021-12-07,108.41,-1.13,-1.03159
2021-12-06,109.54,0.79,0.72644
2021-12-05,108.75,-1.85,-1.67269
2021-12-02,110.6,-1.24,-1.10873
2021-12-01,111.84,0.32,0.28694
2021-11-30,111.52,1.94,1.7704
2021-11-29,109.58,0.09,0.0822
2021-11-28,109.49,1.65,1.53004
2021-11-25,107.84,-3.87,-3.46433
2021-11-24,111.71,0.4,0.35936
2021-11-23,111.31,-0.23,-0.2062
2021-11-22,111.54,0.93,0.84079
2021-11-21,110.61,-5.4,-4.65477
2021-11-18,116.01,-2.54,-2.14256
2021-11-17,118.55,-2.05,-1.69983
2021-11-16,120.6,2.15,1.81511
2021-11-15,118.45,-1.36,-1.13513
2021-11-14,119.81,0.61,0.51174
2021-11-11,119.2,-3.34,-2.72564
2021-11-10,122.54,0.41,0.33571
2021-11-09,122.13,-0.01,-0.00819
2021-11-08,122.14,0.08,0.06554
2021-11-07,122.06,1.08,0.89271
2021-11-04,120.98,1.05,0.87551
2021-11-02,119.93,-1.02,-0.84332
2021-11-01,120.95,-0.5,-0.41169
2021-10-28,121.45,-2.39,-1.92991
2021-10-27,123.84,-0.86,-0.68966
2021-10-26,124.7,-2.05,-1.61736
2021-10-25,126.75,-0.28,-0.22042
2021-10-24,127.03,2.2,1.7624
2021-10-21,124.83,0.63,0.50725
2021-10-20,124.2,-2.04,-1.61597
2021-10-19,126.24,0.52,0.41362
2021-10-18,125.72,1.47,1.1831
2021-10-17,124.25,0.3,0.24203
2021-10-14,123.95,0.61,0.49457
2021-10-13,123.34,1.2,0.98248
2021-10-12,122.14,-0.79,-0.64264
2021-10-11,122.93,-0.61,-0.49377
2021-10-10,123.54,1.09,0.89016
2021-10-07,122.45,0.85,0.69901
2021-10-06,121.6,2.47,2.07337
2021-10-05,119.13,-0.77,-0.6422
2021-10-04,119.9,3.2,2.74207
2021-10-03,116.7,0.56,0.48218
2021-09-30,116.14,-0.77,-0.65863
2021-09-29,116.91,0.94,0.81055
