tradeDate,nav,change,changePercent
2022-09-01,15.99,-0.216,-1.33284
2022-08-31,16.206,0.067,0.41514
2022-08-29,16.139,0.125,0.78057
2022-08-28,16.014,0.02,0.12505
2022-08-25,15.994,-0.039,-0.24325
2022-08-24,16.033,0.014,0.0874
2022-08-23,16.019,-0.005,-0.0312
2022-08-22,16.024,-0.039,-0.24279
2022-08-21,16.063,0.101,0.63275
2022-08-18,15.962,0.095,0.59873
2022-08-17,15.867,-0.01,-0.06298
2022-08-16,15.877,0.213,1.35981
2022-08-11,15.664,0.134,0.86285
2022-08-10,15.53,0.039,0.25176
2022-08-09,15.491,-0.165,-1.05391
2022-08-07,15.656,-0.151,-0.95527
2022-08-04,15.807,0.066,0.41929
2022-08-03,15.741,-0.163,-1.0249
2022-08-02,15.904,0.001,0.00629
2022-08-01,15.903,0.19,1.20919
2022-07-31,15.713,-0.029,-0.18422
2022-07-28,15.742,0.058,0.3698
2022-07-27,15.684,-0.01,-0.06372
2022-07-26,15.694,0.004,0.02549
2022-07-25,15.69,0.125,0.80308
2022-07-24,15.565,0.07,0.45176
2022-07-21,15.495,-0.046,-0.29599
2022-07-20,15.541,0.062,0.40054
2022-07-19,15.479,0.042,0.27207
2022-07-18,15.437,-0.074,-0.47708
2022-07-17,15.511,-0.21,-1.33579
2022-07-14,15.721,-0.135,-0.85141
2022-07-13,15.856,0.122,0.77539
2022-07-12,15.734,-0.065,-0.41142
2022-07-11,15.799,0.042,0.26655
2022-07-10,15.757,0.119,0.76097
2022-07-07,15.638,-0.064,-0.40759
2022-07-06,15.702,0.036,0.2298
2022-07-05,15.666,0.129,0.83028
2022-07-04,15.537,0.196,1.27762
2022-07-03,15.341,0.099,0.64952
2022-06-29,15.242,0.064,0.42166
2022-06-28,15.178,0.012,0.07912
2022-06-27,15.166,0.014,0.0924
2022-06-26,15.152,-0.07,-0.45986
2022-06-23,15.222,0.072,0.47525
2022-06-21,15.15,-0.069,-0.45338
2022-06-20,15.219,-0.068,-0.44482
2022-06-19,15.287,-0.038,-0.24796
2022-06-16,15.325,0.093,0.61056
2022-06-15,15.232,-0.129,-0.83979
2022-06-14,15.361,-0.019,-0.12354
2022-06-13,15.38,0.031,0.20197
2022-06-12,15.349,0.064,0.41871
2022-06-09,15.285,0.144,0.95106
