tradeDate,nav,change,changePercent
2022-09-04,9.8,0.05,0.51282
2022-09-01,9.75,0.05,0.51546
2022-08-31,9.7,,
2022-08-30,9.8,,
2022-08-29,10.03,0.1,1.00705
2022-08-28,9.93,,
2022-08-25,10.13,0.0,0.0
2022-08-24,10.13,0.02,0.19782
2022-08-23,10.11,,
2022-08-22,10.18,-0.03,-0.29383
2022-08-21,10.21,-0.03,-0.29297
2022-08-18,10.24,0.01,0.09775
2022-08-17,10.23,0.01,0.09785
2022-08-16,10.22,-0.05,-0.48685
2022-08-15,10.27,0.08,0.78508
2022-08-11,10.19,-0.01,-0.09804
2022-08-10,10.2,0.05,0.49261
2022-08-09,10.15,,
2022-08-08,10.11,0.02,0.19822
2022-08-07,10.09,0.06,0.59821
2022-08-04,10.03,-0.09,-0.88933
2022-08-03,10.12,0.13,1.3013
2022-08-02,9.99,-0.01,-0.1
2022-08-01,10.0,-0.09,-0.89197
2022-07-31,10.09,0.06,0.59821
2022-07-28,10.03,0.11,1.10887
2022-07-27,9.92,-0.05,-0.5015
2022-07-26,9.97,0.03,0.30181
2022-07-25,9.94,0.07,0.70922
2022-07-24,9.87,0.05,0.50916
2022-07-21,9.82,0.07,0.71795
2022-07-20,9.75,-0.08,-0.81384
2022-07-19,9.83,0.09,0.92402
2022-07-18,9.74,0.03,0.30896
2022-07-17,9.71,0.21,2.21053
2022-07-14,9.5,-0.02,-0.21008
2022-07-13,9.52,-0.11,-1.14226
2022-07-12,9.63,0.01,0.10395
2022-07-11,9.62,-0.06,-0.61983
2022-07-10,9.68,0.04,0.41494
2022-07-07,9.64,-0.02,-0.20704
2022-07-06,9.66,0.1,1.04603
2022-07-05,9.56,-0.08,-0.82988
2022-07-04,9.64,-0.13,-1.3306
2022-07-03,9.77,0.14,1.45379
2022-06-30,9.63,-0.02,-0.20725
2022-06-29,9.65,-0.22,-2.22898
2022-06-28,9.87,-0.07,-0.70423
2022-06-27,9.94,0.14,1.42857
2022-06-26,9.8,0.2,2.08333
2022-06-23,9.6,0.04,0.41841
2022-06-21,9.56,-0.2,-2.04918
2022-06-20,9.76,0.12,1.24481
2022-06-19,9.64,-0.04,-0.41322
2022-06-16,9.68,0.04,0.41494
2022-06-15,9.64,-0.37,-3.6963
2022-06-14,10.01,0.19,1.93483
2022-06-13,9.82,-0.02,-0.20325
2022-06-12,9.84,-0.39,-3.81232
2022-06-09,10.23,-0.21,-2.01149
2022-06-08,10.44,0.01,0.09588
2022-06-07,10.43,0.0,0.0
2022-06-06,10.43,0.09,0.87041
2022-06-02,10.34,0.0,0.0
2022-06-01,10.34,-0.04,-0.38536
2022-05-31,10.38,-0.03,-0.28818
2022-05-30,10.41,0.05,0.48263
2022-05-29,10.36,-0.01,-0.09643
2022-05-26,10.37,0.09,0.87549
2022-05-24,10.28,0.04,0.39062
2022-05-23,10.24,-0.06,-0.58252
2022-05-22,10.3,0.05,0.4878
2022-05-19,10.25,0.21,2.09163
2022-05-18,10.04,-0.24,-2.33463
2022-05-17,10.28,0.04,0.39062
2022-05-16,10.24,0.17,1.68818
2022-05-15,10.07,0.17,1.71717
2022-05-12,9.9,0.17,1.74717
2022-05-11,9.73,-0.21,-2.11268
2022-05-10,9.94,0.12,1.222
2022-05-09,9.82,-0.25,-2.48262
2022-05-05,10.07,-0.14,-1.3712
2022-05-04,10.21,0.06,0.59113
2022-05-03,10.15,0.05,0.49505
2022-05-02,10.1,-0.03,-0.29615
2022-05-01,10.13,0.02,0.19782
2022-04-28,10.11,0.02,0.19822
2022-04-27,10.09,0.08,0.7992
2022-04-26,10.01,0.09,0.90726
2022-04-25,9.92,0.04,0.40486
2022-04-24,9.88,-0.3,-2.94695
2022-04-21,10.18,-0.09,-0.87634
2022-04-20,10.27,0.01,0.09747
2022-04-19,10.26,0.05,0.48972
2022-04-18,10.21,0.03,0.2947
2022-04-13,10.18,-0.05,-0.48876
2022-04-12,10.23,0.01,0.09785
2022-04-11,10.22,-0.09,-0.87294
2022-04-10,10.31,0.06,0.58537
2022-04-07,10.25,0.05,0.4902
2022-04-06,10.2,0.02,0.19646
2022-04-05,10.18,0.03,0.29557
2022-04-04,10.15,0.0,0.0
2022-04-03,10.15,0.04,0.39565
2022-03-31,10.11,-0.02,-0.19743
2022-03-30,10.13,0.04,0.39643
2022-03-29,10.09,-0.05,-0.4931
2022-03-28,10.14,0.04,0.39604
2022-03-27,10.1,0.06,0.59761
2022-03-24,10.04,0.06,0.6012
2022-03-23,9.98,-0.02,-0.2
2022-03-22,10.0,0.01,0.1001
2022-03-21,9.99,0.07,0.70565
2022-03-20,9.92,0.11,1.1213
2022-03-17,9.81,0.06,0.61538
2022-03-16,9.75,0.02,0.20555
2022-03-15,9.73,0.16,1.67189
2022-03-14,9.57,-0.09,-0.93168
2022-03-13,9.66,-0.05,-0.51493
2022-03-10,9.71,0.12,1.2513
2022-03-09,9.59,0.15,1.58898
2022-03-08,9.44,0.08,0.8547
2022-03-07,9.36,0.16,1.73913
2022-03-06,9.2,-0.14,-1.49893
2022-03-03,9.34,-0.45,-4.59653
2022-03-02,9.79,-0.02,-0.20387
2022-03-01,9.81,0.06,0.61538
2022-02-28,9.75,-0.16,-1.61453
2022-02-27,9.91,0.14,1.43296
2022-02-24,9.77,0.1,1.03413
2022-02-23,9.67,-0.2,-2.02634
2022-02-22,9.87,-0.01,-0.10121
2022-02-21,9.88,0.0,0.0
2022-02-20,9.88,-0.08,-0.80321
2022-02-17,9.96,0.01,0.1005
2022-02-16,9.95,-0.02,-0.2006
2022-02-15,9.97,0.04,0.40282
2022-02-14,9.93,0.05,0.50607
2022-02-13,9.88,-0.11,-1.1011
2022-02-10,9.99,-0.05,-0.49801
2022-02-09,10.04,0.03,0.2997
2022-02-08,10.01,0.07,0.70423
2022-02-07,9.94,0.07,0.70922
2022-02-06,9.87,0.02,0.20305
2022-02-03,9.85,-0.08,-0.80564
2022-02-02,9.93,0.0,0.0
2022-02-01,9.93,0.09,0.91463
2022-01-31,9.84,0.07,0.71648
2022-01-30,9.77,0.02,0.20513
2022-01-27,9.75,-0.11,-1.11562
