tradeDate,nav,change,changePercent
2022-09-01,88.61,-0.2,-0.2252
2022-08-31,88.81,-0.85,-0.94803
2022-08-30,89.66,0.07,0.07813
2022-08-29,89.59,0.17,0.19011
2022-08-28,89.42,-1.12,-1.23702
2022-08-25,90.54,0.42,0.46605
2022-08-24,90.12,0.72,0.80537
2022-08-23,89.4,-0.27,-0.3011
2022-08-22,89.67,-0.22,-0.24474
2022-08-21,89.89,-0.3,-0.33263
2022-08-18,90.19,-0.32,-0.35355
2022-08-17,90.51,-0.11,-0.12139
2022-08-16,90.62,-0.16,-0.17625
2022-08-15,90.78,0.06,0.06614
2022-08-14,90.72,-0.18,-0.19802
2022-08-11,90.9,-0.04,-0.04399
2022-08-10,90.94,0.81,0.8987
2022-08-09,90.13,-0.09,-0.09976
2022-08-08,90.22,-0.44,-0.48533
2022-08-07,90.66,0.07,0.07727
2022-08-04,90.59,0.18,0.19909
2022-08-03,90.41,0.22,0.24393
2022-08-02,90.19,-0.22,-0.24334
2022-08-01,90.41,-0.51,-0.56093
2022-07-31,90.92,0.32,0.3532
2022-07-28,90.6,-0.21,-0.23125
2022-07-27,90.81,0.45,0.49801
2022-07-26,90.36,-0.15,-0.16573
2022-07-25,90.51,0.35,0.3882
2022-07-24,90.16,0.11,0.12215
2022-07-21,90.05,0.51,0.56958
2022-07-20,89.54,0.06,0.06705
2022-07-19,89.48,0.33,0.37016
2022-07-18,89.15,-0.23,-0.25733
2022-07-17,89.38,0.74,0.83484
2022-07-14,88.64,-0.03,-0.03383
2022-07-13,88.67,-0.39,-0.43791
2022-07-12,89.06,-0.29,-0.32457
2022-07-11,89.35,-0.19,-0.2122
2022-07-10,89.54,-0.64,-0.70969
2022-07-07,90.18,-0.24,-0.26543
2022-07-06,90.42,0.2,0.22168
2022-07-05,90.22,-0.5,-0.55115
2022-07-04,90.72,-0.32,-0.35149
2022-07-03,91.04,0.0,0.0
2022-06-30,91.04,-0.4,-0.43745
2022-06-29,91.44,-0.24,-0.26178
2022-06-28,91.68,-0.54,-0.58556
2022-06-27,92.22,0.05,0.05425
2022-06-26,92.17,0.71,0.7763
2022-06-23,91.46,0.22,0.24112
2022-06-22,91.24,,
2022-06-21,91.0,-0.59,-0.64418
2022-06-20,91.59,0.37,0.40561
2022-06-19,91.22,-0.04,-0.04383
2022-06-16,91.26,-0.19,-0.20776
2022-06-15,91.45,-0.43,-0.468
2022-06-14,91.88,0.09,0.09805
2022-06-13,91.79,-0.15,-0.16315
2022-06-12,91.94,-1.84,-1.96204
2022-06-09,93.78,-0.86,-0.90871
2022-06-08,94.64,-0.33,-0.34748
2022-06-07,94.97,-0.02,-0.02105
2022-06-06,94.99,-0.5,-0.52362
2022-06-05,95.49,0.19,0.19937
2022-06-01,95.3,-0.56,-0.58419
2022-05-31,95.86,-0.07,-0.07297
2022-05-30,95.93,0.19,0.19845
2022-05-29,95.74,0.63,0.66239
2022-05-26,95.11,0.91,0.96603
2022-05-25,94.2,-0.05,-0.05305
2022-05-24,94.25,0.18,0.19135
2022-05-23,94.07,-0.3,-0.3179
2022-05-22,94.37,-0.05,-0.05295
2022-05-19,94.42,0.69,0.73616
2022-05-18,93.73,-0.52,-0.55172
2022-05-17,94.25,0.16,0.17005
2022-05-16,94.09,0.67,0.71719
2022-05-15,93.42,0.29,0.31139
2022-05-12,93.13,0.73,0.79004
2022-05-11,92.4,-1.14,-1.21873
2022-05-10,93.54,-0.31,-0.33031
2022-05-09,93.85,-0.35,-0.37155
2022-05-08,94.2,-0.75,-0.78989
2022-05-05,94.95,-1.25,-1.29938
2022-05-04,96.2,0.06,0.06241
2022-05-03,96.14,-0.06,-0.06237
2022-05-02,96.2,-0.22,-0.22817
2022-04-28,96.42,0.87,0.91052
2022-04-27,95.55,0.22,0.23078
2022-04-26,95.33,-0.52,-0.54251
2022-04-25,95.85,0.2,0.2091
2022-04-24,95.65,-1.26,-1.30018
2022-04-21,96.91,-0.64,-0.65607
2022-04-20,97.55,0.05,0.05128
2022-04-19,97.5,0.06,0.06158
2022-04-18,97.44,-0.98,-0.99573
2022-04-13,98.42,0.14,0.14245
2022-04-12,98.28,0.2,0.20392
2022-04-11,98.08,0.0,0.0
2022-04-10,98.08,-0.77,-0.77896
2022-04-07,98.85,-0.49,-0.49326
2022-04-06,99.34,-0.48,-0.48087
2022-04-05,99.82,-0.52,-0.51824
2022-04-03,100.34,0.36,0.36007
2022-03-31,99.98,-0.11,-0.1099
2022-03-30,100.09,-0.07,-0.06989
2022-03-29,100.16,0.91,0.91688
2022-03-28,99.25,0.46,0.46563
2022-03-27,98.79,-0.09,-0.09102
2022-03-24,98.88,-0.42,-0.42296
2022-03-23,99.3,0.04,0.0403
2022-03-22,99.26,0.27,0.27275
2022-03-21,98.99,0.49,0.49746
2022-03-20,98.5,-0.26,-0.26326
2022-03-17,98.76,0.34,0.34546
2022-03-16,98.42,1.31,1.34899
2022-03-15,97.11,1.36,1.42037
2022-03-14,95.75,-1.42,-1.46136
2022-03-13,97.17,-0.87,-0.88739
2022-03-10,98.04,-0.52,-0.5276
2022-03-09,98.56,0.75,0.76679
2022-03-08,97.81,-0.12,-0.12254
2022-03-07,97.93,-1.64,-1.64708
2022-03-06,99.57,-1.48,-1.46462
2022-03-03,101.05,-0.71,-0.69772
2022-03-02,101.76,0.05,0.04916
2022-03-01,101.71,-0.66,-0.64472
2022-02-28,102.37,0.35,0.34307
2022-02-27,102.02,0.05,0.04903
2022-02-24,101.97,0.04,0.03924
2022-02-23,101.93,-1.99,-1.91493
2022-02-22,103.92,0.08,0.07704
2022-02-21,103.84,-0.74,-0.70759
2022-02-20,104.58,-0.01,-0.00956
2022-02-17,104.59,-0.28,-0.267
2022-02-16,104.87,0.09,0.08589
2022-02-15,104.78,0.7,0.67256
2022-02-14,104.08,-0.29,-0.27786
2022-02-13,104.37,-0.92,-0.87378
2022-02-10,105.29,-0.04,-0.03798
2022-02-09,105.33,0.42,0.40034
2022-02-08,104.91,0.95,0.91381
2022-02-07,103.96,-0.28,-0.26861
2022-02-06,104.24,0.04,0.03839
2022-02-03,104.2,0.85,0.82245
2022-01-30,103.35,0.63,0.61332
2022-01-27,102.72,-0.69,-0.66725
2022-01-26,103.41,-0.81,-0.7772
2022-01-25,104.22,0.19,0.18264
2022-01-24,104.03,-0.73,-0.69683
2022-01-23,104.76,-0.61,-0.57891
2022-01-20,105.37,-0.34,-0.32163
2022-01-19,105.71,0.62,0.58997
2022-01-18,105.09,0.16,0.15248
2022-01-17,104.93,-0.5,-0.47425
2022-01-16,105.43,-0.18,-0.17044
2022-01-13,105.61,-0.31,-0.29267
2022-01-12,105.92,-0.07,-0.06604
2022-01-11,105.99,0.74,0.70309
2022-01-10,105.25,0.01,0.0095
2022-01-09,105.24,-0.1,-0.09493
2022-01-06,105.34,0.65,0.62088
2022-01-05,104.69,-0.98,-0.92742
