tradeDate,nav,change,changePercent
2022-08-31,129.24,-1.05,-0.80589
2022-08-30,130.29,-0.44,-0.33657
2022-08-29,130.73,0.15,0.11487
2022-08-28,130.58,-0.72,-0.54836
2022-08-25,131.3,-0.16,-0.12171
2022-08-24,131.46,0.52,0.39713
2022-08-23,130.94,0.08,0.06113
2022-08-22,130.86,0.55,0.42207
2022-08-21,130.31,-0.7,-0.53431
2022-08-18,131.01,-1.36,-1.02742
2022-08-17,132.37,-0.92,-0.69022
2022-08-16,133.29,-0.78,-0.58179
2022-08-15,134.07,-1.14,-0.84313
2022-08-11,135.21,-0.2,-0.1477
2022-08-10,135.41,0.28,0.20721
2022-08-09,135.13,1.78,1.33483
2022-08-08,133.35,0.22,0.16525
2022-08-07,133.13,0.68,0.5134
2022-08-04,132.45,0.24,0.18153
2022-08-03,132.21,1.26,0.9622
2022-08-02,130.95,-0.83,-0.62984
2022-08-01,131.78,-0.91,-0.68581
2022-07-31,132.69,1.42,1.08174
2022-07-28,131.27,0.85,0.65174
2022-07-27,130.42,1.44,1.11645
2022-07-26,128.98,0.22,0.17086
2022-07-25,128.76,-0.1,-0.0776
2022-07-24,128.86,0.38,0.29577
2022-07-21,128.48,1.18,0.92694
2022-07-20,127.3,-0.47,-0.36785
2022-07-19,127.77,-0.03,-0.02347
2022-07-18,127.8,-0.06,-0.04693
2022-07-17,127.86,0.6,0.47148
2022-07-14,127.26,1.23,0.97596
2022-07-13,126.03,-1.62,-1.2691
2022-07-12,127.65,0.55,0.43273
2022-07-11,127.1,-0.7,-0.54773
2022-07-10,127.8,-1.35,-1.0453
2022-07-07,129.15,0.37,0.28731
2022-07-06,128.78,0.25,0.19451
2022-07-05,128.53,-0.19,-0.14761
2022-07-04,128.72,-1.78,-1.36398
2022-07-03,130.5,0.38,0.29204
2022-06-30,130.12,-0.47,-0.35991
2022-06-29,130.59,-0.4,-0.30537
2022-06-28,130.99,-0.35,-0.26648
2022-06-27,131.34,-0.45,-0.34145
2022-06-26,131.79,0.05,0.03795
2022-06-23,131.74,-0.16,-0.1213
2022-06-21,131.9,0.12,0.09106
2022-06-20,131.78,0.72,0.54937
2022-06-19,131.06,0.42,0.32149
2022-06-16,130.64,0.18,0.13797
2022-06-15,130.46,0.01,0.00767
2022-06-14,130.45,0.22,0.16893
2022-06-13,130.23,-0.38,-0.29094
2022-06-12,130.61,-3.11,-2.32576
2022-06-09,133.72,-1.96,-1.44458
2022-06-08,135.68,-0.83,-0.60801
2022-06-07,136.51,-0.16,-0.11707
2022-06-06,136.67,-0.84,-0.61086
2022-06-02,137.51,0.07,0.05093
2022-06-01,137.44,0.65,0.47518
2022-05-31,136.79,-0.69,-0.50189
2022-05-30,137.48,-0.57,-0.41289
2022-05-29,138.05,0.4,0.29059
2022-05-26,137.65,1.11,0.81295
2022-05-24,136.54,-0.01,-0.00732
2022-05-23,136.55,-0.03,-0.02197
2022-05-22,136.58,1.22,0.9013
2022-05-19,135.36,1.22,0.9095
2022-05-18,134.14,0.73,0.54719
2022-05-17,133.41,0.16,0.12008
2022-05-16,133.25,1.0,0.75614
