tradeDate,nav,change,changePercent
2022-09-01,77.3086,-0.0501,-0.06476
2022-08-31,77.3587,-0.9659,-1.2332
2022-08-30,78.3246,-0.404,-0.51316
2022-08-29,78.7286,-0.3095,-0.39158
2022-08-25,79.0381,0.255,0.32367
2022-08-24,78.7831,-0.0067,-0.0085
2022-08-23,78.7898,-0.02,-0.02538
2022-08-22,78.8098,-0.2076,-0.26273
2022-08-21,79.0174,-0.4856,-0.61079
2022-08-18,79.503,-0.6197,-0.77344
2022-08-17,80.1227,-0.0101,-0.0126
2022-08-16,80.1328,-0.4407,-0.54695
2022-08-15,80.5735,-0.3495,-0.43189
2022-08-14,80.923,0.3023,0.37497
2022-08-11,80.6207,-0.3325,-0.41073
2022-08-10,80.9532,0.082,0.1014
2022-08-09,80.8712,0.2233,0.27688
2022-08-08,80.6479,0.0808,0.10029
2022-08-07,80.5671,-0.4482,-0.55323
2022-08-04,81.0153,0.2205,0.27291
2022-08-03,80.7948,0.1798,0.22304
2022-08-02,80.615,-0.6031,-0.74257
2022-08-01,81.2181,0.2083,0.25713
2022-07-28,81.0098,0.5751,0.71499
2022-07-27,80.4347,0.1946,0.24252
2022-07-26,80.2401,0.1311,0.16365
2022-07-25,80.109,-0.7604,-0.94028
2022-07-24,80.8694,0.7462,0.93132
2022-07-21,80.1232,0.5092,0.63959
2022-07-20,79.614,0.1879,0.23657
2022-07-19,79.4261,0.1891,0.23865
2022-07-18,79.237,-0.1791,-0.22552
2022-07-17,79.4161,0.1106,0.13946
2022-07-14,79.3055,-0.3153,-0.396
2022-07-13,79.6208,-0.0933,-0.11704
2022-07-12,79.7141,-0.1708,-0.21381
2022-07-11,79.8849,0.0544,0.06814
2022-07-10,79.8305,0.1526,0.19152
2022-07-07,79.6779,-0.2464,-0.30829
2022-07-06,79.9243,-0.3774,-0.46998
2022-07-05,80.3017,-0.0678,-0.08436
2022-07-04,80.3695,0.3242,0.40502
2022-06-30,80.0453,0.0185,0.02312
2022-06-29,80.0268,-0.0458,-0.0572
2022-06-28,80.0726,-0.2736,-0.34053
2022-06-27,80.3462,-0.3135,-0.38867
2022-06-26,80.6597,-0.1211,-0.14991
2022-06-23,80.7808,0.087,0.10781
2022-06-22,80.6938,,
2022-06-21,80.6632,0.0353,0.04378
2022-06-20,80.6279,-0.0938,-0.1162
2022-06-16,80.7217,0.0223,0.02763
2022-06-15,80.6994,-0.1593,-0.19701
2022-06-14,80.8587,-0.0961,-0.11871
2022-06-13,80.9548,-0.4652,-0.57136
2022-06-12,81.42,-0.8645,-1.05062
2022-06-09,82.2845,-0.4302,-0.5201
2022-06-08,82.7147,-0.2495,-0.30073
2022-06-07,82.9642,-0.124,-0.14924
2022-06-06,83.0882,-0.4751,-0.56855
2022-05-31,83.5633,-0.7489,-0.88825
2022-05-30,84.3122,-0.066,-0.07822
2022-05-26,84.3782,0.2334,0.27738
2022-05-25,84.1448,0.3136,0.37409
2022-05-24,83.8312,0.0283,0.03377
2022-05-23,83.8029,0.0365,0.04357
2022-05-22,83.7664,0.1391,0.16633
2022-05-19,83.6273,0.0799,0.09563
2022-05-18,83.5474,-0.0851,-0.10175
2022-05-17,83.6325,-0.131,-0.15639
2022-05-16,83.7635,0.1737,0.2078
2022-05-15,83.5898,-0.1148,-0.13715
2022-05-12,83.7046,0.1658,0.19847
2022-05-11,83.5388,0.126,0.15106
2022-05-10,83.4128,0.0743,0.08915
2022-05-09,83.3385,0.0718,0.08623
2022-05-08,83.2667,-0.4992,-0.59595
2022-05-05,83.7659,-0.7241,-0.85702
2022-05-04,84.49,-0.0816,-0.09649
2022-05-03,84.5716,0.0918,0.10867
2022-05-02,84.4798,-0.6689,-0.78557
2022-04-28,85.1487,-0.3309,-0.38711
2022-04-27,85.4796,-0.0926,-0.10821
2022-04-26,85.5722,-0.0897,-0.10471
2022-04-25,85.6619,-0.0411,-0.04796
2022-04-24,85.703,-0.0315,-0.03674
2022-04-21,85.7345,-0.0865,-0.10079
2022-04-20,85.821,0.1529,0.17848
2022-04-19,85.6681,0.0249,0.02907
2022-04-18,85.6432,-0.3263,-0.37955
2022-04-13,85.9695,0.0826,0.09617
2022-04-12,85.8869,-0.1604,-0.18641
2022-04-11,86.0473,-0.3701,-0.42827
2022-04-10,86.4174,-0.1487,-0.17178
2022-04-07,86.5661,-0.2607,-0.30025
2022-04-06,86.8268,-0.2408,-0.27657
2022-04-05,87.0676,-0.2453,-0.28094
2022-04-04,87.3129,0.0311,0.03563
2022-04-03,87.2818,0.1595,0.18308
2022-03-31,87.1223,-0.4761,-0.5435
2022-03-30,87.5984,0.0547,0.06248
2022-03-29,87.5437,0.048,0.05486
2022-03-28,87.4957,-0.0513,-0.0586
2022-03-27,87.547,-0.0888,-0.10133
2022-03-24,87.6358,0.0255,0.02911
2022-03-23,87.6103,0.007,0.00799
2022-03-22,87.6033,0.1304,0.14907
2022-03-21,87.4729,-0.1789,-0.2041
2022-03-20,87.6518,-0.2673,-0.30403
2022-03-15,87.9191,0.4876,0.55769
2022-03-14,87.4315,-0.2034,-0.2321
2022-03-13,87.6349,-0.1654,-0.18838
2022-03-10,87.8003,0.0666,0.07591
2022-03-09,87.7337,-0.1239,-0.14102
2022-03-08,87.8576,-0.2735,-0.31033
2022-03-07,88.1311,-0.2269,-0.2568
2022-03-06,88.358,0.3136,0.35618
2022-03-03,88.0444,-0.9719,-1.09182
