tradeDate,nav,change,changePercent
2022-09-01,926.9263,-2.0442,-0.22005
2022-08-31,928.9705,-9.5689,-1.01955
2022-08-30,938.5394,,
2022-08-29,943.6454,1.1491,0.12192
2022-08-28,942.4963,-14.3438,-1.49908
2022-08-25,956.8401,11.2766,1.19258
2022-08-24,945.5635,0.4866,0.05149
2022-08-23,945.0769,,
2022-08-22,944.2981,-2.5655,-0.27095
2022-08-21,946.8636,-9.8891,-1.03361
2022-08-18,956.7527,-11.1383,-1.15078
2022-08-17,967.891,-3.0197,-0.31102
2022-08-16,970.9107,-7.5552,-0.77215
2022-08-15,978.4659,,
2022-08-14,977.1346,2.8604,0.29359
2022-08-11,974.2742,-2.7373,-0.28017
2022-08-10,977.0115,15.3911,1.60054
2022-08-09,961.6204,,
2022-08-08,966.5437,1.6203,0.16792
2022-08-07,964.9234,5.1125,0.53266
2022-08-04,959.8109,5.1139,0.53566
2022-08-03,954.697,7.3591,0.77682
2022-08-02,947.3379,0.1017,0.01074
2022-08-01,947.2362,-6.814,-0.71422
2022-07-31,954.0502,-0.0779,-0.00816
2022-07-28,954.1281,3.6066,0.37943
2022-07-27,950.5215,2.8247,0.29806
2022-07-26,947.6968,-2.3785,-0.25035
2022-07-25,950.0753,3.5328,0.37323
2022-07-24,946.5425,-3.2521,-0.3424
2022-07-21,949.7946,2.169,0.22889
2022-07-20,947.6256,4.3522,0.46139
2022-07-19,943.2734,3.0346,0.32275
2022-07-18,940.2388,-0.6029,-0.06408
2022-07-17,940.8417,12.4179,1.33752
2022-07-14,928.4238,-5.1819,-0.55504
2022-07-13,933.6057,2.3037,0.24736
2022-07-12,931.302,-7.2742,-0.77502
2022-07-11,938.5762,-14.2265,-1.49312
2022-07-10,952.8027,-9.8515,-1.02337
2022-07-07,962.6542,3.4546,0.36015
2022-07-06,959.1996,4.4305,0.46404
2022-07-05,954.7691,0.4526,0.04743
2022-07-04,954.3165,-8.4971,-0.88253
2022-07-03,962.8136,3.5781,0.37302
2022-06-30,959.2355,-4.3655,-0.45304
2022-06-29,963.601,-20.4184,-2.075
2022-06-28,984.0194,-12.695,-1.27368
2022-06-27,996.7144,3.7874,0.38144
2022-06-26,992.927,12.0107,1.22444
2022-06-23,980.9163,7.9364,0.81568
2022-06-22,972.9799,,
2022-06-21,969.4171,-6.8813,-0.70484
2022-06-20,976.2984,4.7542,0.48934
2022-06-19,971.5442,0.0994,0.01023
2022-06-16,971.4448,-1.6554,-0.17012
2022-06-15,973.1002,-0.9845,-0.10107
2022-06-14,974.0847,5.0752,0.52375
2022-06-13,969.0095,-10.8773,-1.11006
2022-06-12,979.8868,-23.2203,-2.31484
2022-06-09,1003.1071,-19.1526,-1.87356
2022-06-08,1022.2597,-1.3025,-0.12725
2022-06-07,1023.5622,7.8244,0.77032
2022-06-06,1015.7378,-8.9064,-0.86922
2022-06-05,1024.6442,4.7634,0.46705
2022-06-02,1019.8808,3.2575,0.32042
2022-06-01,1016.6233,-4.9957,-0.489
2022-05-31,1021.619,0.7999,0.07836
2022-05-30,1020.8191,5.198,0.51181
2022-05-29,1015.6211,11.6458,1.15997
2022-05-26,1003.9753,16.7064,1.69218
2022-05-25,987.2689,-2.7086,-0.2736
2022-05-24,989.9775,-7.2868,-0.73068
2022-05-23,997.2643,-7.2901,-0.7257
2022-05-22,1004.5544,2.0293,0.20242
2022-05-19,1002.5251,18.5927,1.88963
2022-05-18,983.9324,-13.8178,-1.3849
2022-05-17,997.7502,2.0869,0.2096
2022-05-16,995.6633,16.5845,1.69389
2022-05-15,979.0788,8.0968,0.83388
2022-05-12,970.982,15.5694,1.6296
2022-05-11,955.4126,-9.6241,-0.99728
2022-05-10,965.0367,-5.6599,-0.58308
2022-05-09,970.6966,-7.1705,-0.73328
2022-05-08,977.8671,-13.8141,-1.393
2022-05-05,991.6812,-34.8677,-3.39659
2022-05-04,1026.5489,3.7692,0.36853
2022-05-03,1022.7797,-5.1269,-0.49877
2022-05-02,1027.9066,8.0624,0.79055
2022-05-01,1019.8442,-13.2121,-1.27893
2022-04-28,1033.0563,13.7756,1.3515
2022-04-27,1019.2807,-0.643,-0.06304
2022-04-26,1019.9237,-12.2446,-1.1863
2022-04-25,1032.1683,-2.3022,-0.22255
2022-04-24,1034.4705,-26.7792,-2.52336
2022-04-21,1061.2497,-20.251,-1.87249
2022-04-20,1081.5007,-9.9881,-0.91509
2022-04-19,1091.4888,3.2792,0.30134
2022-04-18,1088.2096,-18.0423,-1.63094
2022-04-13,1106.2519,7.5727,0.68925
2022-04-12,1098.6792,-4.4461,-0.40305
2022-04-11,1103.1253,3.0333,0.27573
2022-04-10,1100.092,-10.6612,-0.95982
2022-04-07,1110.7532,-1.6472,-0.14808
2022-04-06,1112.4004,-12.3523,-1.09822
2022-04-05,1124.7527,-24.5554,-2.13654
2022-04-04,1149.3081,9.3612,0.8212
2022-04-03,1139.9469,7.7606,0.68545
2022-03-31,1132.1863,6.1386,0.54515
2022-03-30,1126.0477,-17.8161,-1.55754
2022-03-29,1143.8638,10.6585,0.94056
2022-03-28,1133.2053,16.4152,1.46986
2022-03-27,1116.7901,-1.8821,-0.16824
2022-03-24,1118.6722,-6.4527,-0.57351
2022-03-23,1125.1249,3.7194,0.33167
2022-03-22,1121.4055,-0.6973,-0.06214
2022-03-21,1122.1028,15.8922,1.43663
2022-03-20,1106.2106,-0.7818,-0.07062
2022-03-17,1106.9924,13.68,1.25124
2022-03-16,1093.3124,22.8172,2.13146
2022-03-15,1070.4952,53.9024,5.30226
2022-03-14,1016.5928,-24.4585,-2.3494
2022-03-13,1041.0513,-37.6515,-3.49044
2022-03-10,1078.7028,-2.5561,-0.2364
2022-03-09,1081.2589,7.6948,0.71675
2022-03-08,1073.5641,4.2229,0.39491
2022-03-07,1069.3412,-14.6723,-1.35352
2022-03-06,1084.0135,-25.771,-2.32216
2022-03-03,1109.7845,-33.1592,-2.90121
2022-03-02,1142.9437,4.5776,0.40212
2022-03-01,1138.3661,-10.2108,-0.889
2022-02-28,1148.5769,4.4034,0.38485
2022-02-27,1144.1735,-2.483,-0.21654
2022-02-24,1146.6565,6.7696,0.59388
2022-02-23,1139.8869,-59.6344,-4.97152
2022-02-22,1199.5213,-1.1541,-0.09612
