tradeDate,nav,change,changePercent
2022-09-01,17.4,-0.16,-0.91116
2022-08-31,17.56,-0.09,-0.50992
2022-08-30,17.65,0.12,0.68454
2022-08-29,17.53,-0.16,-0.90447
2022-08-28,17.69,-0.08,-0.4502
2022-08-25,17.77,-0.22,-1.2229
2022-08-24,17.99,0.27,1.5237
2022-08-23,17.72,-0.01,-0.0564
2022-08-22,17.73,0.04,0.22612
2022-08-21,17.69,-0.14,-0.78519
2022-08-18,17.83,-0.14,-0.77908
2022-08-17,17.97,-0.09,-0.49834
2022-08-16,18.06,-0.03,-0.16584
2022-08-15,18.09,-0.04,-0.22063
2022-08-11,18.13,0.12,0.6663
2022-08-10,18.01,0.06,0.33426
2022-08-09,17.95,0.09,0.50392
2022-08-08,17.86,-0.02,-0.11186
2022-08-07,17.88,0.02,0.11198
2022-08-04,17.86,0.04,0.22447
2022-08-03,17.82,0.1,0.56433
2022-08-02,17.72,0.07,0.3966
2022-08-01,17.65,-0.12,-0.6753
2022-07-31,17.77,-0.17,-0.9476
2022-07-28,17.94,-0.12,-0.66445
2022-07-27,18.06,0.03,0.16639
2022-07-26,18.03,0.29,1.63472
2022-07-25,17.74,-0.11,-0.61625
2022-07-24,17.85,0.11,0.62007
2022-07-21,17.74,-0.15,-0.83846
2022-07-20,17.89,0.17,0.95937
2022-07-19,17.72,-0.07,-0.39348
2022-07-18,17.79,0.17,0.96481
2022-07-17,17.62,0.08,0.4561
2022-07-14,17.54,0.12,0.68886
2022-07-13,17.42,,
2022-07-12,17.52,0.0,0.0
2022-07-11,17.52,0.0,0.0
2022-07-10,17.52,-0.33,-1.84874
2022-07-07,17.85,0.02,0.11217
2022-07-06,17.83,0.29,1.65336
2022-07-05,17.54,-0.16,-0.90395
2022-07-04,17.7,-0.22,-1.22768
2022-06-30,17.92,-0.09,-0.49972
2022-06-29,18.01,-0.11,-0.60706
2022-06-28,18.12,-0.1,-0.54885
2022-06-27,18.22,-0.04,-0.21906
2022-06-26,18.26,0.05,0.27457
2022-06-23,18.21,0.33,1.84564
2022-06-21,17.88,-0.2,-1.10619
2022-06-20,18.08,0.2,1.11857
2022-06-16,17.88,-0.01,-0.0559
2022-06-15,17.89,-0.51,-2.77174
2022-06-14,18.4,0.31,1.71365
2022-06-13,18.09,0.12,0.66778
2022-06-12,17.97,-0.49,-2.65439
2022-06-09,18.46,-0.25,-1.33618
2022-06-08,18.71,-0.26,-1.37059
2022-06-07,18.97,0.04,0.2113
2022-06-06,18.93,-0.02,-0.10554
2022-06-02,18.95,-0.2,-1.04439
2022-06-01,19.15,0.1,0.52493
2022-05-31,19.05,-0.12,-0.62598
2022-05-30,19.17,0.25,1.32135
2022-05-26,18.92,0.44,2.38095
2022-05-24,18.48,0.04,0.21692
2022-05-23,18.44,-0.2,-1.07296
2022-05-22,18.64,0.07,0.37695
2022-05-19,18.57,0.09,0.48701
2022-05-18,18.48,0.06,0.32573
2022-05-17,18.42,-0.31,-1.6551
2022-05-16,18.73,0.32,1.73819
2022-05-15,18.41,0.01,0.05435
2022-05-12,18.4,0.4,2.22222
2022-05-11,18.0,-0.14,-0.77178
2022-05-10,18.14,-0.08,-0.43908
2022-05-09,18.22,-0.36,-1.93757
2022-05-05,18.58,-0.29,-1.53683
2022-05-04,18.87,-0.45,-2.32919
2022-05-03,19.32,0.2,1.04603
2022-05-02,19.12,0.1,0.52576
2022-05-01,19.02,0.0,0.0
2022-04-28,19.02,-0.05,-0.26219
2022-04-27,19.07,0.19,1.00636
2022-04-26,18.88,0.09,0.47898
2022-04-25,18.79,-0.27,-1.41658
2022-04-24,19.06,-0.17,-0.88404
2022-04-21,19.23,-0.13,-0.67149
2022-04-20,19.36,-0.24,-1.22449
2022-04-19,19.6,-0.02,-0.10194
2022-04-18,19.62,-0.22,-1.10887
2022-04-13,19.84,-0.17,-0.84958
2022-04-12,20.01,0.13,0.65392
2022-04-11,19.88,-0.03,-0.15068
2022-04-10,19.91,-0.26,-1.28904
2022-04-07,20.17,0.06,0.29836
2022-04-06,20.11,-0.16,-0.78934
2022-04-05,20.27,-0.16,-0.78316
2022-04-04,20.43,-0.32,-1.54217
2022-04-03,20.75,0.26,1.26891
2022-03-31,20.49,0.2,0.98571
2022-03-30,20.29,-0.17,-0.83089
2022-03-29,20.46,0.06,0.29412
2022-03-28,20.4,0.22,1.09019
2022-03-27,20.18,0.04,0.19861
2022-03-24,20.14,-0.06,-0.29703
2022-03-23,20.2,0.13,0.64773
2022-03-22,20.07,-0.15,-0.74184
2022-03-21,20.22,0.28,1.40421
2022-03-20,19.94,-0.24,-1.1893
2022-03-17,20.18,0.29,1.45802
2022-03-16,19.89,0.19,0.96447
2022-03-15,19.7,0.93,4.95471
2022-03-14,18.77,-0.19,-1.00211
2022-03-13,18.96,-0.24,-1.25
2022-03-10,19.2,-0.28,-1.43737
2022-03-09,19.48,-0.21,-1.06653
2022-03-08,19.69,0.38,1.96789
2022-03-07,19.31,-0.01,-0.05176
2022-03-06,19.32,-0.66,-3.3033
2022-03-03,19.98,-0.32,-1.57635
2022-03-02,20.3,-0.18,-0.87891
2022-03-01,20.48,0.01,0.04885
2022-02-28,20.47,-0.26,-1.25422
2022-02-27,20.73,-0.23,-1.09733
2022-02-24,20.96,0.32,1.55039
