tradeDate,nav,change,changePercent
2022-09-01,30.77,-0.31,-0.99743
2022-08-31,31.08,-0.31,-0.98758
2022-08-30,31.39,-0.48,-1.50612
2022-08-29,31.87,-0.39,-1.20893
2022-08-25,32.26,-1.06,-3.18127
2022-08-24,33.32,0.46,1.39988
2022-08-23,32.86,-0.16,-0.48455
2022-08-22,33.02,-0.13,-0.39216
2022-08-21,33.15,-0.78,-2.29885
2022-08-18,33.93,-0.57,-1.65217
2022-08-17,34.5,0.05,0.14514
2022-08-16,34.45,-0.15,-0.43353
2022-08-15,34.6,0.2,0.5814
2022-08-11,34.4,0.28,0.82063
2022-08-10,34.12,-0.1,-0.29223
2022-08-09,34.22,0.67,1.99702
2022-08-08,33.36,,
2022-08-07,33.55,0.24,0.7205
2022-08-04,33.31,-0.29,-0.8631
2022-08-03,33.6,0.11,0.32846
2022-08-02,33.49,-0.08,-0.23831
2022-08-01,33.57,-0.23,-0.68047
2022-07-31,33.8,0.05,0.14815
2022-07-28,33.75,0.55,1.65663
2022-07-27,33.2,0.76,2.34279
2022-07-26,32.44,1.04,3.3121
2022-07-25,31.4,-0.41,-1.2889
2022-07-24,31.64,,
2022-07-21,31.81,-0.02,-0.06283
2022-07-20,31.83,0.38,1.20827
2022-07-19,31.45,0.04,0.12735
2022-07-18,31.41,0.68,2.21282
2022-07-17,30.73,0.07,0.22831
2022-07-14,30.66,0.43,1.42243
2022-07-13,30.23,0.02,0.0662
2022-07-12,30.21,,
2022-07-11,30.02,-0.17,-0.5631
2022-07-10,30.19,-0.2,-0.65811
2022-07-07,30.39,-0.3,-0.97752
2022-07-06,30.69,0.81,2.71084
2022-07-05,29.88,0.12,0.40323
2022-07-04,29.76,-0.1,-0.3349
2022-07-03,29.86,-0.16,-0.53298
2022-06-30,30.02,0.2,0.67069
2022-06-29,29.82,0.04,0.13432
2022-06-28,29.78,-0.44,-1.45599
2022-06-27,30.22,-0.33,-1.0802
2022-06-26,30.55,0.02,0.06551
2022-06-23,30.53,1.26,4.30475
2022-06-21,29.27,-0.02,-0.06828
2022-06-20,29.29,0.24,0.82616
2022-06-19,29.05,0.48,1.68008
2022-06-16,28.57,-0.03,-0.1049
2022-06-15,28.6,-0.53,-1.81943
2022-06-14,29.13,0.42,1.4629
2022-06-13,28.71,-0.31,-1.06823
2022-06-12,29.02,-1.03,-3.42762
2022-06-09,30.05,-0.37,-1.21631
2022-06-08,30.42,-0.75,-2.40616
2022-06-07,31.17,-0.28,-0.8903
2022-06-06,31.45,0.88,2.87864
2022-05-31,30.57,-0.25,-0.81116
2022-05-30,30.82,-0.17,-0.54856
2022-05-29,30.99,0.28,0.91176
2022-05-26,30.71,1.09,3.67995
2022-05-24,29.62,0.05,0.16909
2022-05-23,29.57,-0.29,-0.9712
2022-05-22,29.86,0.2,0.67431
2022-05-19,29.66,0.25,0.85005
2022-05-18,29.41,0.53,1.83518
2022-05-17,28.88,-0.81,-2.72819
2022-05-16,29.69,0.74,2.55613
2022-05-15,28.95,0.01,0.03455
2022-05-12,28.94,0.81,2.87949
2022-05-11,28.13,-0.28,-0.98557
2022-05-10,28.41,-0.03,-0.10549
2022-05-09,28.44,-0.73,-2.50257
2022-05-05,29.17,-0.48,-1.61889
2022-05-04,29.65,-0.89,-2.91421
2022-05-03,30.54,0.66,2.20884
2022-05-02,29.88,-0.4,-1.321
2022-04-28,30.28,-0.32,-1.04575
2022-04-27,30.6,0.61,2.03401
2022-04-26,29.99,0.35,1.18084
2022-04-25,29.64,-0.61,-2.01653
2022-04-24,30.25,-0.31,-1.0144
2022-04-21,30.56,-0.58,-1.86256
2022-04-20,31.14,-0.63,-1.983
2022-04-19,31.77,-0.18,-0.56338
2022-04-18,31.95,0.19,0.59824
2022-04-13,31.76,-0.38,-1.18233
2022-04-12,32.14,-0.07,-0.21732
2022-04-11,32.21,-0.17,-0.52502
2022-04-10,32.38,-0.65,-1.96791
2022-04-07,33.03,-0.07,-0.21148
2022-04-06,33.1,-0.21,-0.63044
2022-04-05,33.31,-0.47,-1.39136
2022-04-04,33.78,-0.07,-0.20679
2022-04-03,33.85,0.02,0.05912
2022-03-31,33.83,0.07,0.20735
2022-03-30,33.76,-0.35,-1.02609
