tradeDate,nav,change,changePercent
2022-09-04,125.326,-0.4831,-0.38399
2022-09-01,125.8091,-0.0634,-0.05037
2022-08-31,125.8725,-1.4216,-1.11678
2022-08-30,127.2941,-0.1172,-0.09199
2022-08-29,127.4113,-0.489,-0.38233
2022-08-25,127.9003,0.0494,0.03864
2022-08-24,127.8509,0.5535,0.43481
2022-08-23,127.2974,0.2884,0.22707
2022-08-22,127.009,-0.5318,-0.41696
2022-08-21,127.5408,0.3554,0.27943
2022-08-18,127.1854,-0.1126,-0.08845
2022-08-17,127.298,-0.1625,-0.12749
2022-08-16,127.4605,1.2256,0.97089
2022-08-15,126.2349,-0.0108,-0.00855
2022-08-14,126.2457,0.428,0.34017
2022-08-11,125.8177,2.1665,1.75211
2022-08-09,123.6512,0.4969,0.40348
2022-08-08,123.1543,-1.5562,-1.24785
2022-08-07,124.7105,0.7501,0.60511
2022-08-04,123.9604,0.632,0.51245
2022-08-03,123.3284,-0.2247,-0.18187
2022-08-02,123.5531,0.3227,0.26187
2022-08-01,123.2304,-1.6414,-1.31447
2022-07-28,124.8718,0.0375,0.03004
2022-07-27,124.8343,-0.8791,-0.69929
2022-07-26,125.7134,0.9841,0.78899
2022-07-25,124.7293,-0.3457,-0.27639
2022-07-24,125.075,-0.1506,-0.12026
2022-07-21,125.2256,-0.384,-0.30571
2022-07-20,125.6096,0.7052,0.56459
2022-07-19,124.9044,1.4132,1.14437
2022-07-18,123.4912,1.6996,1.3955
2022-07-14,121.7916,-0.4696,-0.3841
2022-07-13,122.2612,0.2787,0.22848
2022-07-12,121.9825,-0.3838,-0.31365
2022-07-11,122.3663,-1.6239,-1.3097
2022-07-10,123.9902,1.3145,1.07152
2022-07-07,122.6757,0.6222,0.50978
2022-07-06,122.0535,1.8358,1.52706
2022-07-05,120.2177,-1.0497,-0.86561
2022-07-04,121.2674,-1.3198,-1.07662
2022-07-03,122.5872,0.9901,0.81425
2022-06-30,121.5971,-0.6191,-0.50656
2022-06-29,122.2162,-2.8559,-2.2834
2022-06-28,125.0721,-1.5436,-1.21912
2022-06-27,126.6157,2.973,2.40451
2022-06-26,123.6427,0.2216,0.17955
2022-06-23,123.4211,1.1726,0.95919
2022-06-22,122.2485,,
2022-06-21,123.102,-1.1254,-0.90592
2022-06-20,124.2274,3.1486,2.60046
2022-06-19,121.0788,-2.5007,-2.02356
2022-06-16,123.5795,0.5254,0.42697
2022-06-15,123.0541,-2.0881,-1.66858
2022-06-14,125.1422,-0.5223,-0.41563
2022-06-13,125.6645,-0.3364,-0.26698
2022-06-12,126.0009,-3.0273,-2.34623
2022-06-09,129.0282,-1.8668,-1.42618
2022-06-08,130.895,-0.5273,-0.40123
2022-06-07,131.4223,1.9141,1.47798
2022-06-06,129.5082,0.9593,0.74625
2022-05-31,128.5489,2.4561,1.94785
2022-05-30,126.0928,-0.6747,-0.53223
2022-05-29,126.7675,0.7704,0.61144
2022-05-26,125.9971,1.2277,0.98398
2022-05-25,124.7694,0.9021,0.72828
2022-05-24,123.8673,0.2672,0.21618
2022-05-23,123.6001,-0.6356,-0.51161
2022-05-22,124.2357,0.3853,0.3111
2022-05-19,123.8504,2.0489,1.68216
2022-05-18,121.8015,-1.4375,-1.16643
2022-05-17,123.239,0.5083,0.41416
2022-05-16,122.7307,1.174,0.9658
2022-05-15,121.5567,-1.426,-1.15951
2022-05-12,122.9827,2.9536,2.46074
2022-05-11,120.0291,-1.4097,-1.16083
2022-05-10,121.4388,-1.1035,-0.90051
2022-05-09,122.5423,-1.3423,-1.08351
2022-05-08,123.8846,-1.1747,-0.93931
2022-05-05,125.0593,0.5868,0.47143
2022-04-27,124.4725,2.7674,2.27386
2022-04-26,121.7051,0.9253,0.7661
2022-04-25,120.7798,-1.2618,-1.03391
2022-04-24,122.0416,-2.0906,-1.68417
2022-04-21,124.1322,-1.7328,-1.37671
2022-04-20,125.865,1.1575,0.92817
2022-04-19,124.7075,0.7017,0.56586
2022-04-18,124.0058,0.257,0.20768
2022-04-13,123.7488,1.6753,1.37237
2022-04-12,122.0735,0.6804,0.56049
2022-04-11,121.3931,-0.9451,-0.77253
2022-04-10,122.3382,0.6887,0.56613
2022-04-07,121.6495,0.0285,0.02343
2022-04-06,121.621,-0.6961,-0.56909
2022-04-05,122.3171,-2.2539,-1.80933
2022-04-04,124.571,-1.7448,-1.3813
2022-04-03,126.3158,0.0814,0.06448
2022-03-31,126.2344,0.627,0.49917
2022-03-30,125.6074,-1.6341,-1.28425
2022-03-29,127.2415,-1.4269,-1.10897
2022-03-28,128.6684,1.1258,0.88269
2022-03-27,127.5426,-0.0654,-0.05125
2022-03-24,127.608,0.8919,0.70386
2022-03-23,126.7161,1.0672,0.84935
2022-03-22,125.6489,0.2504,0.19968
2022-03-21,125.3985,5.6858,4.74954
2022-03-15,119.7127,2.3609,2.01181
2022-03-14,117.3518,0.6442,0.55198
2022-03-13,116.7076,1.01,0.87297
2022-03-10,115.6976,0.1308,0.11318
2022-03-09,115.5668,2.5722,2.27639
2022-03-08,112.9946,1.2664,1.13346
2022-03-07,111.7282,-3.0357,-2.64517
2022-03-06,114.7639,-2.1235,-1.81671
2022-03-03,116.8874,-2.4339,-2.03979
2022-03-02,119.3213,1.195,1.01163
2022-03-01,118.1263,-1.2539,-1.05034
2022-02-28,119.3802,-0.967,-0.80351
2022-02-27,120.3472,0.5053,0.42164
2022-02-24,119.8419,1.8227,1.54441
2022-02-23,118.0192,-3.4053,-2.80446
2022-02-21,121.4245,-0.0022,-0.00181
2022-02-20,121.4267,-1.3772,-1.12146
2022-02-17,122.8039,-0.1235,-0.10047
2022-02-16,122.9274,-0.7205,-0.5827
2022-02-15,123.6479,0.2054,0.16639
