tradeDate,nav,change,changePercent
2022-09-01,9.05,,
2022-08-31,9.0516,-0.0354,-0.38957
2022-08-30,9.087,0.0135,0.14878
2022-08-29,9.0735,0.0149,0.16448
2022-08-25,9.0586,0.0057,0.06296
2022-08-24,9.0529,-0.0107,-0.11805
2022-08-23,9.0636,-0.0006,-0.00662
2022-08-22,9.0642,0.0035,0.03863
2022-08-21,9.0607,-0.0068,-0.07499
2022-08-18,9.0675,-0.0005,-0.00551
2022-08-17,9.068,-0.0096,-0.10575
2022-08-16,9.0776,-0.011,-0.12103
2022-08-15,9.0886,,
2022-08-14,9.0714,0.0062,0.06839
2022-08-11,9.0652,-0.0002,-0.00221
2022-08-10,9.0654,-0.0185,-0.20366
2022-08-09,9.0839,-0.0047,-0.05171
2022-08-08,9.0886,0.0121,0.13331
2022-08-07,9.0765,-0.0083,-0.09136
2022-08-04,9.0848,0.0095,0.10468
2022-08-03,9.0753,0.0113,0.12467
2022-08-02,9.064,-0.0323,-0.35509
2022-08-01,9.0963,0.0263,0.28997
2022-07-28,9.07,0.0489,0.54206
2022-07-27,9.0211,0.0309,0.34371
2022-07-26,8.9902,0.0057,0.06344
2022-07-25,8.9845,0.0214,0.23876
2022-07-24,8.9631,0.0292,0.32684
2022-07-21,8.9339,0.0203,0.22774
2022-07-20,8.9136,0.0083,0.0932
2022-07-19,8.9053,-0.0043,-0.04826
2022-07-18,8.9096,-0.0143,-0.16024
2022-07-17,8.9239,-0.0011,-0.01232
2022-07-14,8.925,-0.0236,-0.26373
2022-07-13,8.9486,0.0071,0.07941
2022-07-12,8.9415,-0.0074,-0.08269
2022-07-11,8.9489,0.0327,0.36675
2022-07-10,8.9162,-0.0199,-0.22269
2022-07-07,8.9361,-0.0041,-0.04586
2022-07-06,8.9402,-0.0339,-0.37775
2022-07-05,8.9741,0.0345,0.38592
2022-07-04,8.9396,0.0121,0.13554
2022-07-03,8.9275,0.0203,0.22791
2022-06-30,8.9072,0.0021,0.02358
2022-06-29,8.9051,0.0276,0.3109
2022-06-28,8.8775,0.0001,0.00113
2022-06-27,8.8774,-0.0261,-0.29314
2022-06-26,8.9035,-0.0167,-0.18722
2022-06-23,8.9202,0.0047,0.05272
2022-06-22,8.9155,,
2022-06-21,8.9206,-0.0155,-0.17345
2022-06-20,8.9361,-0.0028,-0.03132
2022-06-19,8.9389,-0.0105,-0.11733
2022-06-16,8.9494,-0.0442,-0.49146
2022-06-15,8.9936,0.0214,0.23851
2022-06-14,8.9722,-0.019,-0.21132
2022-06-13,8.9912,-0.04,-0.44291
2022-06-12,9.0312,0.0019,0.02104
2022-06-09,9.0293,-0.0042,-0.04649
2022-06-08,9.0335,-0.0117,-0.12935
2022-06-07,9.0452,-0.0043,-0.04752
2022-06-06,9.0495,0.037,0.41054
2022-05-31,9.0125,-0.0134,-0.14846
2022-05-30,9.0259,-0.0061,-0.06754
2022-05-29,9.032,0.0414,0.46048
2022-05-26,8.9906,0.0102,0.11358
2022-05-25,8.9804,-0.0165,-0.1834
