tradeDate,nav,change,changePercent
2022-09-01,92.0446,-0.1918,-0.20794
2022-08-31,92.2364,-0.9841,-1.05567
2022-08-30,93.2205,,
2022-08-29,93.7482,0.1077,0.11501
2022-08-28,93.6405,-1.4677,-1.54319
2022-08-25,95.1082,1.1083,1.17904
2022-08-24,93.9999,0.8606,0.92399
2022-08-23,93.1393,,
2022-08-22,93.0807,-0.2571,-0.27545
2022-08-21,93.3378,-0.9814,-1.04051
2022-08-18,94.3192,-1.084,-1.13623
2022-08-17,95.4032,-0.3263,-0.34086
2022-08-16,95.7295,-0.7583,-0.7859
2022-08-15,96.4878,,
2022-08-14,96.3753,0.2752,0.28637
2022-08-11,96.1001,-0.2782,-0.28865
2022-08-10,96.3783,1.4925,1.57294
2022-08-09,94.8858,,
2022-08-08,95.3888,0.1474,0.15476
2022-08-07,95.2414,0.4961,0.52361
2022-08-04,94.7453,0.4941,0.52424
2022-08-03,94.2512,0.6786,0.72521
2022-08-02,93.5726,-0.0117,-0.0125
2022-08-01,93.5843,-0.7209,-0.76443
2022-07-31,94.3052,0.0069,0.00732
2022-07-28,94.2983,0.3498,0.37233
2022-07-27,93.9485,0.9948,1.07021
2022-07-26,92.9537,-0.237,-0.25432
2022-07-25,93.1907,0.3089,0.33257
2022-07-24,92.8818,-0.2889,-0.31008
2022-07-21,93.1707,0.2148,0.23108
2022-07-20,92.9559,0.3876,0.41872
2022-07-19,92.5683,0.2894,0.31361
2022-07-18,92.2789,-0.0696,-0.07537
2022-07-17,92.3485,1.2056,1.32276
2022-07-14,91.1429,,
2022-07-13,91.6674,0.1999,0.21855
2022-07-12,91.4675,-0.7263,-0.7878
2022-07-11,92.1938,-1.4069,-1.50309
2022-07-10,93.6007,-0.98,-1.03615
2022-07-07,94.5807,0.3274,0.34736
2022-07-06,94.2533,0.3999,0.42609
2022-07-05,93.8534,0.0398,0.04242
2022-07-04,93.8136,-0.8551,-0.90326
2022-07-03,94.6687,0.34,0.36044
2022-06-30,94.3287,-0.4553,-0.48036
2022-06-29,94.784,-1.0894,-1.13629
2022-06-28,95.8734,-1.2174,-1.25388
2022-06-27,97.0908,0.3434,0.35494
2022-06-26,96.7474,1.1539,1.20709
2022-06-23,95.5935,0.7583,0.7996
2022-06-22,94.8352,,
2022-06-21,94.5318,-0.68,-0.7142
2022-06-20,95.2118,0.4473,0.47201
2022-06-19,94.7645,-0.0089,-0.00939
2022-06-16,94.7734,-0.1736,-0.18284
2022-06-15,94.947,-0.129,-0.13568
2022-06-14,95.076,0.4798,0.50721
2022-06-13,94.5962,-1.0745,-1.12312
2022-06-12,95.6707,-2.2233,-2.27113
2022-06-09,97.894,-1.8674,-1.87187
2022-06-08,99.7614,-0.1847,-0.1848
2022-06-07,99.9461,0.7422,0.74816
2022-06-06,99.2039,-0.8581,-0.85757
2022-06-05,100.062,0.4577,0.45952
2022-06-02,99.6043,0.3052,0.30735
2022-06-01,99.2991,-0.542,-0.54286
2022-05-31,99.8411,0.0689,0.06906
2022-05-30,99.7722,0.5204,0.52432
2022-05-29,99.2518,1.1338,1.15555
2022-05-26,98.118,1.6417,1.70166
2022-05-25,96.4763,0.5006,0.52159
2022-05-24,95.9757,-0.7123,-0.7367
2022-05-23,96.688,-0.7258,-0.74507
2022-05-22,97.4138,0.1725,0.17739
2022-05-19,97.2413,1.7832,1.86804
2022-05-18,95.4581,-1.3627,-1.40745
2022-05-17,96.8208,0.1891,0.19569
2022-05-16,96.6317,1.641,1.72754
2022-05-15,94.9907,0.7722,0.81958
2022-05-12,94.2185,1.4819,1.59797
2022-05-11,92.7366,-0.965,-1.02987
2022-05-10,93.7016,-0.5479,-0.58133
2022-05-09,94.2495,-0.7212,-0.75939
2022-05-08,94.9707,-1.3481,-1.39962
2022-05-05,96.3188,-3.3541,-3.36511
2022-05-04,99.6729,0.3302,0.33238
2022-05-03,99.3427,-0.5022,-0.50298
2022-05-02,99.8449,0.789,0.79652
2022-05-01,99.0559,-1.2896,-1.28516
2022-04-28,100.3455,1.3479,1.36155
2022-04-27,98.9976,0.7934,0.80791
2022-04-26,98.2042,-1.18,-1.18731
2022-04-25,99.3842,-0.2205,-0.22138
2022-04-24,99.6047,-2.5313,-2.47836
2022-04-21,102.136,-1.9159,-1.84129
2022-04-20,104.0519,-0.9817,-0.93465
2022-04-19,105.0336,0.3061,0.29228
2022-04-18,104.7275,-1.7578,-1.65074
2022-04-13,106.4853,0.7098,0.67104
2022-04-12,105.7755,-0.5144,-0.48396
2022-04-11,106.2899,0.2917,0.27519
2022-04-10,105.9982,-1.0647,-0.99446
2022-04-07,107.0629,-0.1757,-0.16384
2022-04-06,107.2386,-1.245,-1.14764
2022-04-05,108.4836,-2.3795,-2.14634
2022-04-04,110.8631,0.9209,0.83762
2022-04-03,109.9422,0.7211,0.66022
2022-03-31,109.2211,0.5754,0.52961
2022-03-30,108.6457,-0.7876,-0.71971
2022-03-29,109.4333,1.0417,0.96105
2022-03-28,108.3916,1.5381,1.43945
2022-03-27,106.8535,-0.2083,-0.19456
2022-03-24,107.0618,-0.6064,-0.56321
2022-03-23,107.6682,0.3164,0.29473
2022-03-22,107.3518,-0.0779,-0.07251
2022-03-21,107.4297,1.517,1.43231
2022-03-20,105.9127,-0.0903,-0.08519
2022-03-17,106.003,1.3033,1.2448
2022-03-16,104.6997,2.1709,2.11736
2022-03-15,102.5288,5.1767,5.3175
2022-03-14,97.3521,-2.3496,-2.35663
2022-03-13,99.7017,-3.6165,-3.50035
2022-03-10,103.3182,-0.2495,-0.24091
2022-03-09,103.5677,0.7136,0.6938
2022-03-08,102.8541,0.3915,0.38209
2022-03-07,102.4626,-1.4231,-1.36987
2022-03-06,103.8857,-2.4934,-2.34388
