tradeDate,nav,change,changePercent
2022-08-31,10.04,-0.06,-0.59406
2022-08-30,10.1,-0.03,-0.29615
2022-08-29,10.13,-0.02,-0.19704
2022-08-28,10.15,-0.04,-0.39254
2022-08-25,10.19,-0.01,-0.09804
2022-08-24,10.2,0.06,0.59172
2022-08-23,10.14,-0.01,-0.09852
2022-08-22,10.15,-0.02,-0.19666
2022-08-21,10.17,-0.05,-0.48924
2022-08-18,10.22,-0.05,-0.48685
2022-08-17,10.27,0.0,0.0
2022-08-16,10.27,-0.04,-0.38797
2022-08-15,10.31,0.0,0.0
2022-08-14,10.31,0.01,0.09709
2022-08-11,10.3,0.03,0.29211
2022-08-10,10.27,0.0,0.0
2022-08-09,10.27,0.02,0.19512
2022-08-08,10.25,-0.02,-0.19474
2022-08-07,10.27,0.03,0.29297
2022-08-04,10.24,-0.06,-0.58252
2022-08-03,10.3,0.03,0.29211
2022-08-02,10.27,0.04,0.39101
2022-08-01,10.23,-0.01,-0.09766
2022-07-28,10.24,0.04,0.39216
2022-07-27,10.2,0.05,0.49261
2022-07-26,10.15,0.03,0.29644
2022-07-25,10.12,-0.03,-0.29557
2022-07-24,10.15,-0.01,-0.09843
2022-07-21,10.16,0.05,0.49456
2022-07-20,10.11,0.04,0.39722
2022-07-19,10.07,0.03,0.2988
2022-07-18,10.04,0.02,0.1996
2022-07-17,10.02,0.0,0.0
2022-07-14,10.02,0.04,0.4008
2022-07-13,9.98,-0.03,-0.2997
2022-07-12,10.01,-0.01,-0.0998
2022-07-11,10.02,0.01,0.0999
2022-07-10,10.01,-0.01,-0.0998
2022-07-07,10.02,0.01,0.0999
2022-07-06,10.01,0.02,0.2002
2022-07-05,9.99,-0.01,-0.1
2022-07-04,10.0,0.0,0.0
2022-06-30,10.0,0.03,0.3009
2022-06-29,9.97,-0.02,-0.2002
2022-06-28,9.99,-0.03,-0.2994
2022-06-27,10.02,-0.04,-0.39761
2022-06-26,10.06,-0.02,-0.19841
2022-06-23,10.08,0.03,0.29851
2022-06-22,10.05,0.01,0.0996
2022-06-21,10.04,0.0,0.0
2022-06-20,10.04,0.0,0.0
2022-06-16,10.04,0.02,0.1996
2022-06-15,10.02,-0.07,-0.69376
2022-06-14,10.09,0.07,0.6986
2022-06-13,10.02,-0.04,-0.39761
2022-06-12,10.06,-0.19,-1.85366
2022-06-09,10.25,-0.08,-0.77444
2022-06-08,10.33,-0.04,-0.38573
2022-06-07,10.37,-0.02,-0.19249
2022-06-06,10.39,-0.03,-0.28791
2022-06-02,10.42,-0.03,-0.28708
2022-06-01,10.45,0.01,0.09579
2022-05-31,10.44,-0.02,-0.1912
2022-05-30,10.46,-0.02,-0.19084
2022-05-26,10.48,0.05,0.47939
2022-05-25,10.43,0.07,0.67568
2022-05-24,10.36,0.07,0.68027
2022-05-23,10.29,0.02,0.19474
2022-05-22,10.27,0.0,0.0
2022-05-19,10.27,0.02,0.19512
2022-05-18,10.25,0.0,0.0
2022-05-17,10.25,-0.03,-0.29183
2022-05-16,10.28,0.0,0.0
2022-05-15,10.28,0.0,0.0
2022-05-12,10.28,0.01,0.09737
2022-05-11,10.27,-0.03,-0.29126
2022-05-10,10.3,0.0,0.0
2022-05-09,10.3,0.0,0.0
2022-05-08,10.3,-0.06,-0.57915
2022-05-05,10.36,-0.06,-0.57582
2022-05-04,10.42,-0.05,-0.47755
2022-05-03,10.47,0.04,0.38351
2022-05-02,10.43,-0.02,-0.19139
2022-04-28,10.45,-0.06,-0.57088
2022-04-27,10.51,-0.01,-0.09506
2022-04-26,10.52,-0.03,-0.28436
2022-04-25,10.55,0.01,0.09488
2022-04-24,10.54,-0.01,-0.09479
2022-04-21,10.55,-0.05,-0.4717
2022-04-20,10.6,-0.04,-0.37594
2022-04-19,10.64,0.02,0.18832
2022-04-18,10.62,-0.05,-0.4686
2022-04-13,10.67,-0.03,-0.28037
2022-04-12,10.7,0.01,0.09355
2022-04-11,10.69,0.01,0.09363
2022-04-10,10.68,-0.06,-0.55866
2022-04-07,10.74,-0.04,-0.37106
2022-04-06,10.78,-0.02,-0.18519
2022-04-05,10.8,-0.04,-0.369
2022-04-04,10.84,-0.05,-0.45914
2022-04-03,10.89,0.04,0.36866
2022-03-31,10.85,-0.01,-0.09208
2022-03-30,10.86,0.01,0.09217
2022-03-29,10.85,0.03,0.27726
2022-03-28,10.82,0.06,0.55762
2022-03-27,10.76,0.02,0.18622
2022-03-24,10.74,-0.03,-0.27855
2022-03-23,10.77,-0.01,-0.09276
2022-03-22,10.78,0.01,0.09285
2022-03-21,10.77,0.0,0.0
2022-03-20,10.77,0.05,0.46642
2022-03-15,10.72,0.06,0.56285
2022-03-14,10.66,0.01,0.0939
2022-03-13,10.65,-0.09,-0.83799
2022-03-10,10.74,-0.03,-0.27855
2022-03-09,10.77,-0.05,-0.46211
2022-03-08,10.82,0.01,0.09251
2022-03-07,10.81,-0.07,-0.64338
2022-03-06,10.88,-0.08,-0.72993
2022-03-03,10.96,-0.03,-0.27298
2022-03-02,10.99,0.0,0.0
2022-03-01,10.99,-0.05,-0.4529
2022-02-28,11.04,0.01,0.09066
2022-02-27,11.03,0.02,0.18165
2022-02-24,11.01,0.06,0.54795
2022-02-23,10.95,-0.03,-0.27322
2022-02-22,10.98,-0.03,-0.27248
2022-02-21,11.01,-0.02,-0.18132
2022-02-17,11.03,-0.01,-0.09058
2022-02-16,11.04,-0.02,-0.18083
2022-02-15,11.06,0.0,0.0
2022-02-14,11.06,0.01,0.0905
2022-02-13,11.05,-0.06,-0.54005
2022-02-10,11.11,-0.01,-0.08993
2022-02-09,11.12,-0.08,-0.71429
2022-02-08,11.2,0.03,0.26858
2022-02-07,11.17,0.0,0.0
2022-02-06,11.17,0.0,0.0
