tradeDate,nav,change,changePercent
2022-09-01,10.05,-0.06,-0.59347
2022-08-31,10.11,,
2022-08-30,10.42,,
2022-08-29,10.47,-0.07,-0.66414
2022-08-28,10.54,,
2022-08-25,10.55,0.01,0.09488
2022-08-24,10.54,0.01,0.09497
2022-08-23,10.53,,
2022-08-22,10.56,-0.09,-0.84507
2022-08-21,10.65,-0.05,-0.46729
2022-08-18,10.7,-0.01,-0.09337
2022-08-17,10.71,-0.06,-0.5571
2022-08-16,10.77,0.0,0.0
2022-08-15,10.77,0.02,0.18605
2022-08-11,10.75,0.03,0.27985
2022-08-10,10.72,0.07,0.65728
2022-08-09,10.65,,
2022-08-08,10.69,0.02,0.18744
2022-08-07,10.67,-0.02,-0.18709
2022-08-04,10.69,0.04,0.37559
2022-08-03,10.65,0.01,0.09398
2022-08-02,10.64,0.02,0.18832
2022-08-01,10.62,0.04,0.37807
2022-07-31,10.58,0.07,0.66603
2022-07-28,10.51,0.09,0.86372
2022-07-27,10.42,0.02,0.19231
2022-07-26,10.4,-0.03,-0.28763
2022-07-25,10.43,0.01,0.09597
2022-07-24,10.42,0.06,0.57915
2022-07-21,10.36,0.05,0.48497
2022-07-20,10.31,0.06,0.58537
2022-07-19,10.25,0.04,0.39177
2022-07-18,10.21,0.05,0.49213
2022-07-17,10.16,0.06,0.59406
2022-07-14,10.1,-0.06,-0.59055
2022-07-13,10.16,-0.02,-0.19646
2022-07-12,10.18,0.0,0.0
2022-07-11,10.18,0.01,0.09833
2022-07-10,10.17,0.02,0.19704
2022-07-07,10.15,0.08,0.79444
2022-07-06,10.07,0.03,0.2988
2022-07-05,10.04,-0.01,-0.0995
2022-07-04,10.05,0.01,0.0996
2022-07-03,10.04,0.01,0.0997
2022-06-30,10.03,-0.04,-0.39722
2022-06-29,10.07,-0.1,-0.98328
2022-06-28,10.17,-0.06,-0.58651
2022-06-27,10.23,0.01,0.09785
2022-06-26,10.22,0.07,0.68966
2022-06-23,10.15,-0.06,-0.58766
2022-06-21,10.21,0.0,0.0
2022-06-20,10.21,0.03,0.2947
2022-06-19,10.18,0.0,0.0
2022-06-16,10.18,-0.1,-0.97276
2022-06-15,10.28,0.07,0.6856
2022-06-14,10.21,-0.06,-0.58423
2022-06-13,10.27,-0.23,-2.19048
2022-06-12,10.5,-0.08,-0.75614
2022-06-09,10.58,-0.06,-0.56391
2022-06-08,10.64,-0.02,-0.18762
2022-06-07,10.66,-0.03,-0.28064
2022-06-06,10.69,-0.05,-0.46555
2022-06-02,10.74,0.01,0.0932
2022-06-01,10.73,-0.02,-0.18605
2022-05-31,10.75,0.01,0.09311
2022-05-30,10.74,0.01,0.0932
2022-05-29,10.73,0.08,0.75117
2022-05-26,10.65,0.23,2.20729
2022-05-24,10.42,0.0,0.0
2022-05-23,10.42,0.03,0.28874
2022-05-22,10.39,0.02,0.19286
2022-05-19,10.37,-0.01,-0.09634
2022-05-18,10.38,-0.08,-0.76482
2022-05-17,10.46,0.01,0.09569
2022-05-16,10.45,-0.01,-0.0956
2022-05-15,10.46,0.01,0.09569
2022-05-12,10.45,-0.03,-0.28626
2022-05-11,10.48,-0.01,-0.09533
2022-05-10,10.49,-0.01,-0.09524
2022-05-09,10.5,-0.15,-1.40845
2022-05-05,10.65,-0.03,-0.2809
2022-05-04,10.68,-0.01,-0.09355
2022-05-03,10.69,0.03,0.28143
2022-05-02,10.66,-0.07,-0.65238
2022-05-01,10.73,-0.04,-0.3714
2022-04-28,10.77,-0.01,-0.09276
2022-04-27,10.78,-0.01,-0.09268
2022-04-26,10.79,0.0,0.0
2022-04-25,10.79,-0.04,-0.36934
2022-04-24,10.83,-0.07,-0.6422
2022-04-21,10.9,0.0,0.0
2022-04-20,10.9,0.02,0.18382
2022-04-19,10.88,-0.02,-0.18349
2022-04-18,10.9,-0.01,-0.09166
2022-04-13,10.91,0.01,0.09174
2022-04-12,10.9,0.01,0.09183
2022-04-11,10.89,-0.07,-0.63869
2022-04-10,10.96,-0.03,-0.27298
2022-04-07,10.99,-0.02,-0.18165
2022-04-06,11.01,-0.09,-0.81081
2022-04-05,11.1,-0.01,-0.09001
2022-04-04,11.11,0.02,0.18034
2022-04-03,11.09,-0.02,-0.18002
2022-03-31,11.11,0.02,0.18034
2022-03-30,11.09,0.02,0.18067
2022-03-29,11.07,0.07,0.63636
2022-03-28,11.0,-0.01,-0.09083
2022-03-27,11.01,-0.01,-0.09074
2022-03-24,11.02,0.01,0.09083
2022-03-23,11.01,0.0,0.0
2022-03-22,11.01,-0.03,-0.27174
2022-03-21,11.04,-0.01,-0.0905
2022-03-20,11.05,0.02,0.18132
2022-03-17,11.03,0.08,0.73059
2022-03-16,10.95,0.05,0.45872
2022-03-15,10.9,0.0,0.0
2022-03-14,10.9,-0.09,-0.81893
2022-03-13,10.99,-0.03,-0.27223
2022-03-10,11.02,-0.03,-0.27149
2022-03-09,11.05,0.02,0.18132
2022-03-08,11.03,-0.05,-0.45126
2022-03-07,11.08,-0.05,-0.44924
2022-03-06,11.13,-0.05,-0.44723
2022-03-03,11.18,-0.01,-0.08937
2022-03-02,11.19,0.01,0.08945
2022-03-01,11.18,0.0,0.0
2022-02-28,11.18,-0.19,-1.67106
2022-02-27,11.37,0.09,0.79787
2022-02-24,11.28,-0.06,-0.5291
2022-02-23,11.34,0.0,0.0
2022-02-22,11.34,-0.01,-0.08811
2022-02-21,11.35,0.01,0.08818
2022-02-20,11.34,-0.01,-0.08811
2022-02-17,11.35,0.0,0.0
2022-02-16,11.35,0.0,0.0
2022-02-15,11.35,0.01,0.08818
2022-02-14,11.34,-0.06,-0.52632
2022-02-13,11.4,-0.07,-0.61029
2022-02-10,11.47,-0.05,-0.43403
2022-02-09,11.52,0.03,0.2611
2022-02-08,11.49,0.0,0.0
2022-02-07,11.49,-0.01,-0.08696
2022-02-06,11.5,-0.05,-0.4329
2022-02-03,11.55,-0.05,-0.43103
2022-02-02,11.6,0.05,0.4329
2022-02-01,11.55,0.04,0.34752
2022-01-31,11.51,0.0,0.0
2022-01-30,11.51,-0.05,-0.43253
2022-01-27,11.56,-0.08,-0.68729
2022-01-26,11.64,0.02,0.17212
2022-01-25,11.62,0.0,0.0
2022-01-24,11.62,-0.04,-0.34305
2022-01-23,11.66,-0.04,-0.34188
2022-01-20,11.7,0.0,0.0
