tradeDate,nav,change,changePercent
2022-09-01,152.17,1.65,1.0962
2022-08-31,150.52,-3.46,-2.24705
2022-08-30,153.98,-0.9,-0.5811
2022-08-29,154.88,-0.29,-0.18689
2022-08-28,155.17,-5.92,-3.67496
2022-08-25,161.09,1.01,0.63093
2022-08-24,160.08,1.49,0.93953
2022-08-23,158.59,-0.67,-0.4207
2022-08-22,159.26,-1.43,-0.88991
2022-08-21,160.69,-2.7,-1.65249
2022-08-18,163.39,-1.3,-0.78936
2022-08-17,164.69,-0.98,-0.59154
2022-08-16,165.67,-0.92,-0.55225
2022-08-15,166.59,0.57,0.34333
2022-08-11,166.02,-0.06,-0.03613
2022-08-10,166.08,2.66,1.62771
2022-08-09,163.42,2.35,1.45899
2022-08-08,161.07,-3.66,-2.22182
2022-08-07,164.73,2.39,1.47222
2022-08-04,162.34,-1.52,-0.92762
2022-08-03,163.86,1.73,1.06704
2022-08-02,162.13,0.52,0.32176
2022-08-01,161.61,-1.29,-0.7919
2022-07-31,162.9,0.29,0.17834
2022-07-28,162.61,3.1,1.94345
2022-07-27,159.51,1.23,0.7771
2022-07-26,158.28,0.81,0.51438
2022-07-25,157.47,-1.51,-0.94981
2022-07-24,158.98,-1.59,-0.99022
2022-07-21,160.57,1.08,0.67716
2022-07-20,159.49,2.76,1.76099
2022-07-19,156.73,2.07,1.33842
2022-07-18,154.66,0.51,0.33085
2022-07-17,154.15,3.63,2.41164
2022-07-14,150.52,2.57,1.73707
2022-07-13,147.95,-1.25,-0.8378
2022-07-12,149.2,-3.07,-2.01616
2022-07-11,152.27,0.26,0.17104
2022-07-10,152.01,-1.47,-0.95778
2022-07-07,153.48,-0.84,-0.54432
2022-07-06,154.32,2.58,1.70028
2022-07-05,151.74,3.48,2.34723
2022-07-04,148.26,-3.33,-2.19671
2022-06-30,151.59,2.35,1.57464
2022-06-29,149.24,-3.09,-2.02849
2022-06-28,152.33,-5.0,-3.17803
2022-06-27,157.33,1.33,0.85256
2022-06-26,156.0,1.33,0.8599
2022-06-23,154.67,5.59,3.74966
2022-06-21,149.08,-1.04,-0.69278
2022-06-20,150.12,1.85,1.24772
2022-06-16,148.27,0.19,0.12831
2022-06-15,148.08,-4.1,-2.69418
2022-06-14,152.18,0.42,0.27675
2022-06-13,151.76,-0.8,-0.52438
2022-06-12,152.56,-6.29,-3.95971
2022-06-09,158.85,-6.65,-4.01813
2022-06-08,165.5,-1.84,-1.09956
2022-06-07,167.34,2.3,1.3936
2022-06-06,165.04,-1.38,-0.82923
2022-06-02,166.42,3.02,1.84823
2022-06-01,163.4,-1.74,-1.05365
2022-05-31,165.14,0.86,0.5235
2022-05-30,164.28,0.29,0.17684
2022-05-26,163.99,7.78,4.98048
2022-05-24,156.21,-0.09,-0.05758
2022-05-23,156.3,-1.45,-0.91918
2022-05-22,157.75,-0.35,-0.22138
2022-05-19,158.1,2.71,1.744
2022-05-18,155.39,-3.56,-2.2397
2022-05-17,158.95,-1.12,-0.69969
2022-05-16,160.07,3.84,2.45791
2022-05-15,156.23,-0.4,-0.25538
2022-05-12,156.63,5.19,3.4271
2022-05-11,151.44,-4.8,-3.0722
2022-05-10,156.24,-0.23,-0.14699
2022-05-09,156.47,-0.99,-0.62873
2022-05-05,157.46,-7.75,-4.691
2022-05-04,165.21,2.0,1.22542
2022-05-03,163.21,-0.56,-0.34194
2022-05-02,163.77,0.6,0.36771
2022-05-01,163.17,-4.68,-2.7882
2022-04-28,167.85,4.0,2.44126
2022-04-27,163.85,0.54,0.33066
2022-04-26,163.31,-1.36,-0.82589
2022-04-25,164.67,1.31,0.80191
2022-04-24,163.36,-5.16,-3.06195
