tradeDate,nav,change,changePercent
2022-09-04,165.34,-1.29,-0.77417
2022-09-01,166.63,,
2022-08-31,168.27,,
2022-08-30,170.41,,
2022-08-29,172.51,0.23,0.1335
2022-08-28,172.28,,
2022-08-25,177.26,1.48,0.84196
2022-08-24,175.78,1.73,0.99397
2022-08-23,174.05,,
2022-08-22,174.05,-1.82,-1.03486
2022-08-21,175.87,-3.34,-1.86374
2022-08-18,179.21,-1.51,-0.83555
2022-08-17,180.72,-1.89,-1.03499
2022-08-16,182.61,0.18,0.09867
2022-08-15,182.43,1.09,0.60108
2022-08-11,181.34,0.81,0.44868
2022-08-10,180.53,4.43,2.51562
2022-08-09,176.1,,
2022-08-08,178.08,0.46,0.25898
2022-08-07,177.62,-0.2,-0.11247
2022-08-04,177.82,1.09,0.61676
2022-08-03,176.73,1.33,0.75827
2022-08-02,175.4,-0.52,-0.29559
2022-08-01,175.92,-1.52,-0.85663
2022-07-31,177.44,1.7,0.96734
2022-07-28,175.74,2.87,1.66021
2022-07-27,172.87,2.67,1.56874
2022-07-26,170.2,-0.33,-0.19351
2022-07-25,170.53,-0.28,-0.16392
2022-07-24,170.81,-0.64,-0.37329
2022-07-21,171.45,1.36,0.79958
2022-07-20,170.09,1.35,0.80005
2022-07-19,168.74,3.84,2.32868
2022-07-18,164.9,0.32,0.19443
2022-07-17,164.58,3.92,2.43994
2022-07-14,160.66,-0.34,-0.21118
2022-07-13,161.0,-1.76,-1.08135
2022-07-12,162.76,-0.01,-0.00614
2022-07-11,162.77,-3.34,-2.01072
2022-07-10,166.11,-0.61,-0.36588
2022-07-07,166.72,2.69,1.63994
2022-07-06,164.03,0.4,0.24445
2022-07-05,163.63,-0.74,-0.4502
2022-07-04,164.37,-1.36,-0.82061
2022-07-03,165.73,0.94,0.57042
2022-06-30,164.79,0.12,0.07287
2022-06-29,164.67,-3.56,-2.11615
2022-06-28,168.23,-2.99,-1.74629
2022-06-27,171.22,0.12,0.07013
2022-06-26,171.1,3.95,2.36315
2022-06-23,167.15,3.04,1.85242
2022-06-21,164.11,-3.66,-2.18156
2022-06-20,167.77,2.95,1.78983
2022-06-19,164.82,-0.11,-0.06669
2022-06-16,164.93,-1.73,-1.03804
2022-06-15,166.66,-2.37,-1.40212
2022-06-14,169.03,-0.25,-0.14768
2022-06-13,169.28,-4.32,-2.48848
2022-06-12,173.6,-7.67,-4.23126
2022-06-09,181.27,-4.09,-2.20652
2022-06-08,185.36,-1.28,-0.68581
2022-06-07,186.64,1.51,0.81564
2022-06-06,185.13,-1.41,-0.75587
2022-06-02,186.54,2.53,1.37493
2022-06-01,184.01,-0.97,-0.52438
2022-05-31,184.98,-1.28,-0.68721
2022-05-30,186.26,-0.53,-0.28374
