tradeDate,nav,change,changePercent
2022-09-04,13.092,-0.121,-0.91576
2022-09-01,13.213,0.068,0.51731
2022-08-31,13.145,-0.116,-0.87475
2022-08-30,13.261,-0.01,-0.07535
2022-08-29,13.271,0.037,0.27958
2022-08-28,13.234,-0.317,-2.33931
2022-08-25,13.551,0.058,0.42985
2022-08-24,13.493,0.016,0.11872
2022-08-23,13.477,-0.062,-0.45794
2022-08-22,13.539,-0.149,-1.08854
2022-08-21,13.688,-0.064,-0.46539
2022-08-18,13.752,-0.034,-0.24663
2022-08-17,13.786,-0.037,-0.26767
2022-08-16,13.823,0.018,0.13039
2022-08-15,13.805,0.089,0.64888
2022-08-11,13.716,-0.036,-0.26178
2022-08-10,13.752,0.06,0.43821
2022-08-09,13.692,0.115,0.84702
2022-08-08,13.577,-0.031,-0.22781
2022-08-07,13.608,0.123,0.91212
2022-08-04,13.485,-0.076,-0.56043
2022-08-03,13.561,0.08,0.59343
2022-08-02,13.481,-0.063,-0.46515
2022-08-01,13.544,-0.053,-0.38979
2022-07-31,13.597,0.087,0.64397
2022-07-28,13.51,0.066,0.49093
2022-07-27,13.444,0.055,0.41078
2022-07-26,13.389,0.03,0.22457
2022-07-25,13.359,-0.054,-0.40259
2022-07-24,13.413,-0.01,-0.0745
2022-07-21,13.423,0.108,0.81112
2022-07-20,13.315,-0.009,-0.06755
2022-07-19,13.324,0.025,0.18798
2022-07-18,13.299,-0.02,-0.15016
2022-07-17,13.319,0.092,0.69555
2022-07-14,13.227,0.135,1.03116
2022-07-13,13.092,-0.109,-0.8257
2022-07-12,13.201,-0.162,-1.2123
2022-07-11,13.363,-0.017,-0.12706
2022-07-10,13.38,-0.026,-0.19394
2022-07-07,13.406,-0.028,-0.20843
2022-07-06,13.434,0.049,0.36608
2022-07-05,13.385,0.091,0.68452
2022-07-04,13.294,-0.128,-0.95366
2022-07-03,13.422,0.072,0.53933
2022-06-30,13.35,0.106,0.80036
2022-06-29,13.244,-0.078,-0.5855
2022-06-28,13.322,-0.151,-1.12076
2022-06-27,13.473,0.074,0.55228
2022-06-26,13.399,0.08,0.60065
2022-06-23,13.319,0.324,2.49327
2022-06-21,12.995,0.029,0.22366
2022-06-20,12.966,0.125,0.97344
2022-06-19,12.841,-0.017,-0.13221
2022-06-16,12.858,0.027,0.21043
2022-06-15,12.831,-0.163,-1.25443
2022-06-14,12.994,-0.035,-0.26863
2022-06-13,13.029,-0.053,-0.40514
2022-06-12,13.082,-0.188,-1.41673
2022-06-09,13.27,-0.367,-2.69121
2022-06-08,13.637,-0.03,-0.21951
2022-06-07,13.667,0.069,0.50743
2022-06-06,13.598,-0.111,-0.80969
2022-06-02,13.709,0.111,0.8163
2022-06-01,13.598,-0.18,-1.30643
2022-05-31,13.778,0.025,0.18178
2022-05-30,13.753,-0.155,-1.11447
2022-05-29,13.908,0.091,0.65861
2022-05-26,13.817,0.25,1.84271
2022-05-24,13.567,0.059,0.43678
2022-05-23,13.508,0.035,0.25978
2022-05-22,13.473,0.082,0.61235
2022-05-19,13.391,0.139,1.0489
2022-05-18,13.252,-0.285,-2.10534
